Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
sagte	1	20093	70	70	0	3	299.427	4.423
fräulein	2	2422	24	24	0	2	150.782	5.931
erwiderte	3	2177	20	20	0	2	122.602	5.822
daß	4	50854	46	46	0	5	83.650	2.478
dachte	5	2839	12	12	0	3	55.292	4.702
aber	6	42540	33	33	0	3	51.568	2.256
caesarissa	7	19	4	4	0	1	50.264	10.340
antwortete	8	2852	11	11	0	2	48.738	4.570
versetzte	9	744	7	7	0	1	43.173	5.856
fragte	10	5030	11	11	0	2	36.938	3.751
zu	11	119245	51	51	0	2	36.293	1.397
mit	12	73621	37	37	0	5	34.005	1.630
für	13	25152	20	20	0	4	31.915	2.292
die	14	214928	9	9	0	4	27.933	-1.955
blickte	15	1383	6	6	0	2	27.922	4.740
ich	16	124076	2	2	0	2	27.314	-3.333
hatte	17	35127	22	22	0	4	27.012	1.947
rief	18	4874	8	8	0	3	22.646	3.337
der	19	192947	9	9	0	5	22.601	-1.800
neben	20	2281	6	6	0	4	22.198	4.018
anna	21	1314	5	5	0	3	22.003	4.550
unterbrach	22	728	4	4	0	1	20.441	5.080
an	23	44294	22	22	0	3	19.749	1.613
fuhr	24	2978	6	6	0	1	19.220	3.633
donna	25	58	2	2	0	2	17.524	7.730
in	26	116231	4	4	0	3	17.510	-2.238
tolstoj	27	1	1	1	0	1	17.452	12.588
flurlampe	27	1	1	1	0	1	17.452	12.588
ratssitzung	27	1	1	1	0	1	17.452	12.588
aufrechterhielte	27	1	1	1	0	1	17.452	12.588
herumsuchend	27	1	1	1	0	1	17.452	12.588
dranmachen	27	1	1	1	0	1	17.452	12.588
stiefkind	27	1	1	1	0	1	17.452	12.588
eierschneemachen	27	1	1	1	0	1	17.452	12.588
bluttraum	27	1	1	1	0	1	17.452	12.588
aufzuholen	27	1	1	1	0	1	17.452	12.588
es	37	72406	1	1	0	1	16.677	-3.556
begann	38	2310	5	5	0	1	16.675	3.736
und	39	243043	67	67	0	7	16.451	0.763
meinte	40	1253	4	4	0	2	16.257	4.297
als	41	46415	21	21	0	4	16.253	1.478
blauen	42	499	3	3	0	1	15.855	5.210
heiraten	43	534	3	3	0	2	15.458	5.113
schwägerin	44	97	2	2	0	1	15.451	6.988
bei	45	18673	12	12	0	3	15.144	1.985
