Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
junge	1	3453	189	189	0	39	1684.921	7.759
die	2	214928	399	399	0	59	965.943	2.877
alte	3	3498	100	100	0	28	755.172	6.822
eine	4	43567	167	167	0	56	609.051	3.923
jungen	5	3493	66	66	0	27	442.575	6.224
schöne	6	1940	48	48	0	18	347.325	6.613
einer	7	18577	86	86	0	38	341.181	4.195
vornehme	8	196	26	26	0	15	277.714	9.036
kappadozische	9	24	14	14	0	1	199.429	11.172
notre	10	13	12	12	0	9	191.816	11.835
alten	11	3555	29	29	0	11	145.921	5.012
diese	12	13774	44	44	0	23	143.133	3.660
der	13	192947	150	150	0	39	139.899	1.621
herr	14	8916	35	35	0	1	127.160	3.957
grande	15	24	9	9	0	4	117.389	10.535
und	16	243043	1	1	0	1	114.452	-5.941
große	17	3427	24	24	0	12	113.598	4.792
gekleidete	18	44	9	9	0	6	104.570	9.661
ältere	19	198	11	11	0	9	97.418	7.780
monsieur	20	219	10	10	0	1	84.552	7.497
gewandte	21	32	7	7	0	1	82.381	9.757
schönen	22	1918	16	16	0	11	81.109	5.045
sie	23	156573	1	1	0	1	70.533	-5.306
vornehmen	24	362	9	9	0	8	65.041	6.620
kleine	25	3188	15	15	0	9	59.496	4.219
würdige	26	82	6	6	0	4	56.525	8.178
gute	27	1882	12	12	0	11	54.559	4.657
fremde	28	688	8	8	0	6	45.728	5.524
älteren	29	214	6	6	0	6	44.800	6.794
englische	30	254	6	6	0	1	42.737	6.546
feine	31	266	6	6	0	5	42.182	6.480
verschleierte	32	33	4	4	0	4	41.912	8.906
jene	33	1355	9	9	0	5	41.616	4.716
jener	34	1982	10	10	0	9	40.970	4.319
dieser	35	11975	18	18	0	9	34.369	2.572
carreau	36	2	2	2	0	1	33.135	11.950
polnische	37	27	3	3	0	2	30.879	8.780
würdigen	38	138	4	4	0	1	30.130	6.842
lieber	39	2663	9	9	0	1	30.084	3.741
kappadozischen	40	3	2	2	0	1	29.316	11.365
vornehmste	41	38	3	3	0	3	28.731	8.287
beleibte	42	4	2	2	0	1	27.591	10.950
zarte	43	204	4	4	0	1	26.999	6.278
schwerhörigen	44	5	2	2	0	1	26.406	10.628
großen	45	4519	10	10	0	4	25.734	3.130
distinguierte	46	6	2	2	0	2	25.499	10.365
stattliche	47	67	3	3	0	3	25.236	7.469
hochgeborene	48	7	2	2	0	2	24.761	10.143
vierzigjährige	48	7	2	2	0	1	24.761	10.143
schönste	50	276	4	4	0	3	24.596	5.842
exzentrischen	51	8	2	2	0	1	24.140	9.950
hübsche	52	311	4	4	0	2	23.652	5.669
bekannte	53	312	4	4	0	4	23.626	5.665
elegante	54	109	3	3	0	3	22.284	6.767
andere	55	4360	9	9	0	7	22.052	3.030
angekommenen	56	15	2	2	0	2	21.361	9.043
ältlichen	57	16	2	2	0	2	21.085	8.950
genannte	58	18	2	2	0	2	20.585	8.780
begabte	58	18	2	2	0	2	20.585	8.780
fromme	60	147	3	3	0	2	20.487	6.335
ältliche	61	21	2	2	0	1	19.936	8.558
stolze	62	173	3	3	0	3	19.514	6.100
tugendhafte	63	27	2	2	0	2	18.888	8.195
aussehende	64	28	2	2	0	2	18.738	8.143
reizende	65	213	3	3	0	3	18.276	5.800
hohe	66	636	4	4	0	4	18.066	4.637
edle	67	239	3	3	0	3	17.593	5.634
heiße	68	255	3	3	0	1	17.210	5.541
besagte	69	41	2	2	0	1	17.172	7.593
trefflichen	70	47	2	2	0	2	16.616	7.396
allervortrefflichsten	71	1	1	1	0	1	16.567	11.950
schmähsüchtige	71	1	1	1	0	1	16.567	11.950
dienstgefällige	71	1	1	1	0	1	16.567	11.950
beängsteten	71	1	1	1	0	1	16.567	11.950
edelmütigste	71	1	1	1	0	1	16.567	11.950
verwittweten	71	1	1	1	0	1	16.567	11.950
gewitzigte	71	1	1	1	0	1	16.567	11.950
emancipirten	71	1	1	1	0	1	16.567	11.950
indifferenten	71	1	1	1	0	1	16.567	11.950
perlengeschmückten	71	1	1	1	0	1	16.567	11.950
gerathene	71	1	1	1	0	1	16.567	11.950
noter	71	1	1	1	0	1	16.567	11.950
aussteigende	71	1	1	1	0	1	16.567	11.950
wohnhafte	71	1	1	1	0	1	16.567	11.950
nachdenkende	71	1	1	1	0	1	16.567	11.950
nichtradelnde	71	1	1	1	0	1	16.567	11.950
erotomanische	71	1	1	1	0	1	16.567	11.950
berufenste	71	1	1	1	0	1	16.567	11.950
untertauchenden	71	1	1	1	0	1	16.567	11.950
nächsthohen	71	1	1	1	0	1	16.567	11.950
skalplose	71	1	1	1	0	1	16.567	11.950
französische	92	293	3	3	0	2	16.391	5.340
dicke	93	313	3	3	0	3	16.003	5.245
jede	94	1766	5	5	0	5	15.076	3.486
aber	95	42540	1	1	0	1	14.801	-3.426
