Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
fragte	1	5030	12	12	0	1	58.683	4.908
dachte	2	2839	8	8	0	1	41.662	5.148
te	3	4982	9	9	0	1	39.151	4.507
bemerkte	4	1352	5	5	0	1	28.673	5.540
sagte	5	20093	12	12	0	2	27.776	2.910
emma	6	643	4	4	0	1	27.034	6.291
an	7	44294	17	17	0	3	26.873	2.272
wandte	8	1658	5	5	0	1	26.677	5.246
austen	9	1	1	1	0	1	18.882	13.619
nadelbüchschen	9	1	1	1	0	1	18.882	13.619
schwanflaumbesatz	9	1	1	1	0	1	18.882	13.619
streberhaften	9	1	1	1	0	1	18.882	13.619
der	13	192947	2	2	0	2	18.800	-2.939
ging	14	6378	6	6	0	1	18.722	3.565
die	15	214928	3	3	0	1	18.038	-2.509
reizte	16	110	2	2	0	2	17.791	7.838
erwiderte	17	2177	4	4	0	1	17.502	4.531
ihm	18	28873	11	11	0	2	17.194	2.261
kapitel	19	892	3	3	0	1	16.637	5.403
kreisels	20	2	1	1	0	1	16.110	12.619
verreiste	20	2	1	1	0	1	16.110	12.619
leo	22	178	2	2	0	1	15.863	7.144
zigarettenrauch	23	3	1	1	0	1	15.063	12.034
libe	23	3	1	1	0	1	15.063	12.034
schlachtet	23	3	1	1	0	1	15.063	12.034
heimfuhren	23	3	1	1	0	1	15.063	12.034
lieblingsschwester	23	3	1	1	0	1	15.063	12.034
