Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
sagte	1	20093	60	60	0	3	294.144	4.877
fräulein	2	2422	26	26	0	2	191.920	6.723
antwortete	3	2852	19	19	0	1	122.096	6.035
fragte	4	5030	19	19	0	3	100.912	5.217
fräuleins	5	68	7	7	0	1	83.713	9.985
rief	6	4874	15	15	0	3	73.620	4.921
madam	7	11	4	4	0	1	59.157	11.806
arme	8	2444	10	10	0	1	54.567	5.332
erwiderte	9	2177	9	9	0	2	49.282	5.347
der	10	192947	1	1	0	1	31.680	-4.293
hatte	11	35127	16	16	0	3	23.346	2.165
flüsterte	12	808	4	4	0	3	23.293	5.607
liebte	13	877	4	4	0	2	22.649	5.489
die	14	214928	4	4	0	3	22.487	-2.449
kisse	15	1	1	1	0	1	18.390	13.265
stadtkundig	15	1	1	1	0	1	18.390	13.265
hochßaitskeschenk	15	1	1	1	0	1	18.390	13.265
allerwenigstens	15	1	1	1	0	1	18.390	13.265
vorankroch	15	1	1	1	0	1	18.390	13.265
trainings	15	1	1	1	0	1	18.390	13.265
für	21	25152	12	12	0	2	18.346	2.232
ich	22	124076	1	1	0	1	18.308	-3.656
daß	23	50854	17	17	0	2	17.004	1.718
frau	24	11840	8	8	0	2	16.783	2.734
wiederholte	25	722	3	3	0	1	16.436	5.354
brach	26	803	3	3	0	2	15.813	5.201
esther	27	822	3	3	0	1	15.677	5.167
kebrellt	28	2	1	1	0	1	15.618	12.265
peßahlen	28	2	1	1	0	1	15.618	12.265
teure	30	162	2	2	0	1	15.263	6.925
anwortete	31	3	1	1	0	1	14.572	11.680
