Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
gnädige	1	593	461	461	0	37	5407.725	9.053
seine	2	19668	605	605	0	67	2578.399	4.394
seiner	3	12544	503	503	0	60	2400.434	4.776
eine	4	43567	707	707	0	75	2161.085	3.471
die	5	214928	1145	1145	0	82	1362.758	1.864
junge	6	3453	181	181	0	47	955.324	5.163
einer	7	18577	289	289	0	63	852.233	3.410
meine	8	12984	223	223	0	48	697.176	3.553
gnädigen	9	144	68	68	0	19	689.115	8.334
alte	10	3498	138	138	0	43	650.112	4.753
diese	11	13774	215	215	0	44	634.211	3.415
der	12	192947	708	708	0	74	467.322	1.326
meiner	13	5501	121	121	0	31	433.389	3.910
schöne	14	1940	84	84	0	32	410.779	4.887
anständige	15	108	29	29	0	10	253.209	7.520
in	16	116231	14	14	0	10	244.520	-3.603
deine	17	2450	63	63	0	24	244.088	4.135
dieser	18	11975	115	115	0	36	239.382	2.714
ne	19	1905	57	57	0	4	237.425	4.354
ich	20	124076	23	23	0	9	224.423	-2.981
sagte	21	20093	141	141	0	25	220.583	2.262
gute	22	1882	54	54	0	20	220.547	4.293
gnädigste	23	68	22	22	0	5	201.755	7.789
reizende	24	213	28	28	0	8	200.349	6.489
jungen	25	3493	62	62	0	31	196.898	3.601
schönen	26	1918	48	48	0	24	183.430	4.096
ein	27	67513	4	4	0	4	164.821	-4.626
sie	28	156573	66	66	0	21	164.388	-1.795
das	29	91858	18	18	0	10	161.747	-2.901
den	30	93109	20	20	0	6	157.034	-2.768
arme	31	2444	47	47	0	25	156.219	3.716
er	32	116714	42	42	0	12	141.296	-2.024
hübsche	33	311	22	22	0	13	129.127	5.595
es	34	72406	14	14	0	11	128.064	-2.920
rief	35	4874	53	53	0	16	121.482	2.894
ner	36	876	28	28	0	2	120.149	4.449
nicht	37	82498	23	23	0	11	120.095	-2.392
zur	38	9135	70	70	0	31	119.159	2.389
dem	39	57412	8	8	0	7	114.985	-3.392
kleine	40	3188	42	42	0	16	110.487	3.170
verehrte	41	79	14	14	0	4	109.156	6.920
so	42	51317	6	6	0	5	108.355	-3.646
kluge	43	119	13	13	0	9	87.935	6.222
keine	44	7374	54	54	0	30	87.912	2.323
verheirateten	45	38	10	10	0	8	86.831	7.491
alten	46	3555	38	38	0	26	85.930	2.869
geschiedene	47	14	8	8	0	7	85.335	8.609
verheiratete	48	43	10	10	0	10	84.005	7.312
reiche	49	338	16	16	0	12	80.985	5.016
hohe	50	636	19	19	0	5	79.029	4.352
andere	51	4360	37	37	0	20	69.131	2.536
bei	52	18673	81	81	0	23	69.093	1.568
jede	53	1766	25	25	0	19	68.972	3.274
einen	54	26126	1	1	0	1	67.341	-5.257
hübschen	55	339	14	14	0	7	67.078	4.819
schönste	56	276	13	13	0	8	65.669	5.009
ihr	57	31781	4	4	0	3	65.591	-3.539
gekleidete	58	44	8	8	0	8	62.820	6.957
deiner	59	1153	20	20	0	14	62.604	3.567
liebe	60	5691	40	40	0	16	62.463	2.264
sich	61	82849	46	46	0	17	61.857	-1.398
tugendhafte	62	27	7	7	0	4	60.539	7.469
einzige	63	1431	21	21	0	16	59.300	3.326
und	64	243043	223	223	0	45	58.706	-0.673
ehrbare	65	37	7	7	0	5	55.578	7.015
wir	66	21296	1	1	0	1	53.564	-4.962
ältere	67	198	10	10	0	9	51.901	5.109
reizenden	68	205	10	10	0	5	51.208	5.059
auf	69	60442	31	31	0	15	50.221	-1.512
franks	70	11	5	5	0	1	50.132	8.279
mich	71	33107	9	9	0	4	48.770	-2.428
anständigen	72	102	8	8	0	5	48.630	5.744
edle	73	239	10	10	0	6	48.167	4.838
fragte	74	5030	33	33	0	12	47.935	2.165
unglückliche	75	333	11	11	0	7	47.890	4.497
man	76	24885	4	4	0	4	47.288	-3.186
knädige	77	5	4	4	0	1	47.217	9.095
tugendsame	77	5	4	4	0	2	47.217	9.095
vortreffliche	79	69	7	7	0	7	46.266	6.115
jung	80	649	13	13	0	4	44.169	3.775
geliebte	81	669	13	13	0	10	43.430	3.731
schwache	82	144	8	8	0	6	43.044	5.247
espard	83	146	8	8	0	2	42.823	5.227
ihm	84	28873	8	8	0	7	42.011	-2.401
brave	85	94	7	7	0	6	41.809	5.669
ist	86	47932	24	24	0	12	41.024	-1.547
aus	87	28233	8	8	0	7	40.490	-2.368
liebwerte	88	3	3	3	0	1	39.163	9.417
alleinstehende	89	10	4	4	0	3	38.775	8.095
armen	90	1652	17	17	0	13	37.301	2.814
eigene	91	866	13	13	0	7	37.238	3.359
versetzte	92	744	12	12	0	5	35.947	3.462
schönsten	93	351	9	9	0	7	34.784	4.131
noch	94	28261	10	10	0	6	34.433	-2.048
rechtschaffene	95	16	4	4	0	4	34.259	7.417
liebende	96	97	6	6	0	4	33.578	5.402
verstorbene	97	47	5	5	0	5	33.541	6.184
ihn	98	26415	9	9	0	6	33.179	-2.103
hochgeehrte	99	5	3	3	0	1	32.439	8.680
nach	100	25374	9	9	0	7	30.846	-2.045
