Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
gnädiges	1	70	65	65	0	21	1020.556	11.599
mein	2	13206	175	175	0	23	999.151	5.468
das	3	91858	182	182	0	28	389.402	2.727
liebes	4	304	36	36	0	12	363.732	8.628
würdiges	5	24	7	7	0	1	84.652	9.928
der	6	192947	5	5	0	4	82.223	-3.530
verehrtes	7	5	5	5	0	1	81.150	11.706
gnädige	8	593	12	12	0	7	77.779	6.079
schönes	9	464	9	9	0	3	57.564	6.018
jawohl	10	311	8	8	0	3	55.673	6.425
die	11	214928	19	19	0	9	45.196	-1.760
dass	12	4498	15	15	0	2	45.131	3.478
sagte	13	20093	28	28	0	8	42.385	2.219
junges	14	259	6	6	0	4	40.493	6.274
dem	15	57412	48	48	0	18	37.392	1.482
hübsches	16	181	5	5	0	1	35.504	6.528
englischen	17	425	6	6	0	1	34.594	5.560
bitte	18	1910	9	9	0	5	32.824	3.977
hochverehrtes	19	2	2	2	0	1	32.458	11.706
dieses	20	5597	13	13	0	6	30.699	2.956
bei	21	18673	23	23	0	10	30.394	2.041
in	22	116231	8	8	0	4	30.369	-2.121
euerm	23	30	3	3	0	1	29.199	8.384
kleine	24	3188	10	10	0	6	28.956	3.389
gnädigen	25	144	4	4	0	4	28.446	6.536
ich	26	124076	10	10	0	7	28.350	-1.893
er	27	116714	9	9	0	7	27.744	-1.957
schöne	28	1940	8	8	0	4	27.180	3.784
angebliche	29	45	3	3	0	1	26.669	7.799
von	30	66878	44	44	0	17	21.590	1.136
sagt	31	2122	7	7	0	2	20.903	3.462
den	32	93109	8	8	0	4	19.939	-1.801
ja	33	13683	16	16	0	6	19.866	1.966
wertes	34	23	2	2	0	2	18.880	8.182
junge	35	3453	8	8	0	6	18.844	2.952
munteren	36	36	2	2	0	1	17.030	7.536
méry	37	1	1	1	0	1	16.228	11.706
finanzlage	37	1	1	1	0	1	16.228	11.706
knädikes	37	1	1	1	0	1	16.228	11.706
seni	37	1	1	1	0	1	16.228	11.706
volksbühne	37	1	1	1	0	1	16.228	11.706
jesehen	37	1	1	1	0	1	16.228	11.706
jnädiges	37	1	1	1	0	1	16.228	11.706
komfirmiert	37	1	1	1	0	1	16.228	11.706
hochgeehrtes	37	1	1	1	0	1	16.228	11.706
grüssen	37	1	1	1	0	1	16.228	11.706
renomee	37	1	1	1	0	1	16.228	11.706
legenheiten	37	1	1	1	0	1	16.228	11.706
romanvignette	37	1	1	1	0	1	16.228	11.706
blutarme	37	1	1	1	0	1	16.228	11.706
fräüu	37	1	1	1	0	1	16.228	11.706
nachsucht	37	1	1	1	0	1	16.228	11.706
hochfahren	37	1	1	1	0	1	16.228	11.706
zwirnhandschuhe	37	1	1	1	0	1	16.228	11.706
hausgäste	37	1	1	1	0	1	16.228	11.706
bewundertes	37	1	1	1	0	1	16.228	11.706
ährenblonde	37	1	1	1	0	1	16.228	11.706
norddeutsches	37	1	1	1	0	1	16.228	11.706
