Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
meine	1	12984	88	88	0	20	544.115	5.808
ihre	2	17958	88	88	0	34	487.967	5.340
liebe	3	5691	53	53	0	16	359.114	6.266
ihrer	4	9585	58	58	0	23	343.853	5.644
theuere	5	96	21	21	0	1	278.441	10.820
schöne	6	1940	30	30	0	8	232.876	6.998
liebste	7	183	18	18	0	9	207.428	9.667
meiner	8	5501	26	26	0	14	140.701	5.288
theuerste	9	34	9	9	0	1	123.147	11.095
teure	10	162	11	11	0	3	118.187	9.132
geliebte	11	669	13	13	0	4	106.637	7.327
gute	12	1882	16	16	0	7	104.917	6.135
deine	13	2450	17	17	0	10	104.666	5.842
unsrer	14	355	11	11	0	1	100.554	8.001
schönen	15	1918	15	15	0	4	95.867	6.014
beste	16	750	12	12	0	10	93.748	7.047
eine	17	43567	37	37	0	27	81.812	2.811
einer	18	18577	25	25	0	18	75.507	3.475
reizende	19	213	7	7	0	2	64.794	8.085
zärtliche	20	110	6	6	0	2	61.728	8.816
seiner	21	12544	19	19	0	14	61.410	3.646
geliebteste	22	9	4	4	0	1	59.811	11.843
junge	23	3453	12	12	0	7	57.597	4.844
unsre	24	428	7	7	0	1	54.959	7.079
seine	25	19668	20	20	0	14	50.246	3.071
annas	26	134	5	5	0	1	47.560	8.269
edelmüthige	27	5	3	3	0	1	47.398	12.276
angebetete	28	42	4	4	0	2	45.767	9.621
süße	29	230	5	5	0	2	42.101	7.489
vertrauteste	30	10	3	3	0	2	41.912	11.276
neue	31	2112	8	8	0	6	39.703	4.968
theure	32	17	3	3	0	2	38.287	10.510
meeräugige	33	2	2	2	0	1	36.083	13.013
und	34	243043	4	4	0	4	35.529	-2.878
deiner	35	1153	6	6	0	5	33.481	5.427
mütterliche	36	41	3	3	0	1	32.672	9.240
alte	37	3498	8	8	0	6	31.950	4.241
sie	38	156573	1	1	0	1	30.340	-4.244
liebenswürdige	39	98	3	3	0	3	27.326	7.983
treue	40	411	4	4	0	4	27.254	6.330
langjährige	41	8	2	2	0	2	27.087	11.013
kluge	42	119	3	3	0	3	26.149	7.703
grausame	43	130	3	3	0	2	25.615	7.575
großmüthige	44	13	2	2	0	1	24.924	10.312
indiskrete	45	14	2	2	0	1	24.603	10.205
lieben	46	1467	5	5	0	1	23.777	4.816
neuen	47	1803	5	5	0	5	21.793	4.519
kleine	48	3188	6	6	0	5	21.747	3.959
alten	49	3555	6	6	0	5	20.526	3.802
verehrten	50	42	2	2	0	2	20.012	8.621
unglückliche	51	333	3	3	0	3	19.978	6.218
unbekannten	52	357	3	3	0	1	19.564	6.118
unsere	53	2327	5	5	0	2	19.364	4.150
intimen	54	52	2	2	0	2	19.141	8.312
aufrichtige	55	55	2	2	0	1	18.913	8.231
unglücklichen	56	433	3	3	0	3	18.420	5.840
allzuunglückliche	57	1	1	1	0	1	18.041	13.013
schnellbesonnene	57	1	1	1	0	1	18.041	13.013
erbauende	57	1	1	1	0	1	18.041	13.013
milejews	57	1	1	1	0	1	18.041	13.013
salimbenis	57	1	1	1	0	1	18.041	13.013
treubesorgte	57	1	1	1	0	1	18.041	13.013
aufopferndste	57	1	1	1	0	1	18.041	13.013
zur	64	9135	8	8	0	7	17.934	2.856
gesunde	65	77	2	2	0	1	17.551	7.746
einzige	66	1431	4	4	0	2	17.491	4.530
verehrte	67	79	2	2	0	1	17.448	7.709
edeln	68	89	2	2	0	1	16.968	7.537
keine	69	7374	7	7	0	6	16.668	2.972
guten	70	1908	4	4	0	2	15.302	4.115
verehrungswürdigste	71	2	1	1	0	1	15.268	12.013
sallies	71	2	1	1	0	1	15.268	12.013
petrizkis	71	2	1	1	0	1	15.268	12.013
hefter	71	2	1	1	0	1	15.268	12.013
kaiserlichen	75	168	2	2	0	1	14.424	6.621
edelherzige	76	3	1	1	0	1	14.222	11.428
intimste	76	3	1	1	0	1	14.222	11.428
eventuellen	76	3	1	1	0	1	14.222	11.428
ältere	79	198	2	2	0	2	13.770	6.383
reizenden	80	205	2	2	0	2	13.632	6.333
großherzige	81	4	1	1	0	1	13.543	11.013
unerfahrne	81	4	1	1	0	1	13.543	11.013
muthwilligen	81	4	1	1	0	1	13.543	11.013
demüthige	81	4	1	1	0	1	13.543	11.013
reizlosen	81	4	1	1	0	1	13.543	11.013
grossse	81	4	1	1	0	1	13.543	11.013
