Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
die	1	214928	712	712	0	31	3015.702	4.065
frau	2	11840	138	138	0	14	866.889	5.879
der	3	192947	294	294	0	20	733.031	2.944
junge	4	3453	78	78	0	6	589.885	6.834
fliegende	5	61	18	18	0	1	233.193	10.542
zent	6	8	8	8	0	1	136.477	12.302
verwitwete	7	10	5	5	0	2	71.428	11.302
jungen	8	3493	16	16	0	5	70.122	4.532
und	9	243043	5	5	0	5	64.788	-3.267
schöne	10	1940	10	10	0	5	46.063	4.702
er	11	116714	1	1	0	1	38.247	-4.530
sie	12	156573	4	4	0	2	38.083	-2.954
in	13	116231	1	1	0	1	38.061	-4.524
zur	14	9135	15	15	0	6	37.210	3.052
ich	15	124076	2	2	0	2	35.423	-3.619
den	16	93109	1	1	0	1	29.234	-4.204
das	17	91858	1	1	0	1	28.761	-4.185
alte	18	3498	8	8	0	5	24.583	3.530
kleine	19	3188	7	7	0	1	20.986	3.471
franziska	20	23	2	2	0	2	20.530	8.779
sich	21	82849	2	2	0	2	20.521	-3.036
gnädige	22	593	4	4	0	3	20.497	5.090
nicht	23	82498	2	2	0	2	20.398	-3.030
reizenden	24	205	3	3	0	1	19.947	6.208
von	25	66878	1	1	0	1	19.411	-3.727
munteren	26	36	2	2	0	1	18.677	8.132
braunen	27	256	3	3	0	1	18.625	5.887
ungarische	28	50	2	2	0	2	17.336	7.658
mit	29	73621	2	2	0	1	17.308	-2.866
war	30	60927	1	1	0	1	17.224	-3.592
unglückliche	31	333	3	3	0	1	17.070	5.508
tollköpfigen	32	1	1	1	0	1	17.055	12.302
vorlesend	32	1	1	1	0	1	17.055	12.302
imra	32	1	1	1	0	1	17.055	12.302
schönen	35	1918	5	5	0	5	16.561	3.719
gnädigste	36	68	2	2	0	1	16.092	7.215
fliegenden	36	68	2	2	0	1	16.092	7.215
liebenswürdige	38	98	2	2	0	2	14.624	6.688
dienstfertigen	39	2	1	1	0	1	14.283	11.302
ratz	39	2	1	1	0	1	14.283	11.302
spottlustige	39	2	1	1	0	1	14.283	11.302
falkners	39	2	1	1	0	1	14.283	11.302
louise	43	117	2	2	0	1	13.916	6.432
