Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
fragte	1	5030	23	23	0	1	142.264	5.851
sagte	2	20093	27	27	0	1	103.114	4.084
erwiderte	3	2177	12	12	0	1	78.449	6.121
antwortete	4	2852	12	12	0	1	72.057	5.731
dachte	5	2839	11	11	0	1	64.253	5.612
für	6	25152	19	19	0	1	52.145	3.253
daß	7	50854	25	25	0	1	50.037	2.634
versetzte	8	744	5	5	0	1	34.596	6.407
rief	9	4874	6	6	0	1	21.749	3.958
lieblingsspielgefährtin	10	1	1	1	0	1	18.888	13.624
schlittschuhläufern	10	1	1	1	0	1	18.888	13.624
dolmetscherin	10	1	1	1	0	1	18.888	13.624
hineinbekommen	10	1	1	1	0	1	18.888	13.624
der	14	192947	2	2	0	1	18.716	-2.934
durchgemacht	15	92	2	2	0	1	18.523	8.100
begann	16	2310	4	4	0	1	17.072	4.450
vorging	17	137	2	2	0	1	16.923	7.526
gleichende	18	2	1	1	0	1	16.116	12.624
mitschicken	18	2	1	1	0	1	16.116	12.624
wandelgang	20	3	1	1	0	1	15.069	12.039
durchgangszimmer	20	3	1	1	0	1	15.069	12.039
vorfuhren	20	3	1	1	0	1	15.069	12.039
mit	23	73621	17	17	0	1	14.238	1.543
bemerkte	24	1352	3	3	0	1	14.229	4.808
zu	25	119245	23	23	0	1	14.121	1.284
konstantin	26	277	2	2	0	1	14.114	6.510
