Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
ja	1	13683	34	34	0	5	145.587	4.439
nein	2	4461	19	19	0	4	100.867	5.216
von	3	66878	38	38	0	10	62.052	2.310
ach	4	2381	9	9	0	1	45.594	5.044
bei	5	18673	18	18	0	8	45.243	3.073
gewiss	6	168	4	4	0	1	34.844	7.699
aber	7	42540	21	21	0	4	29.386	2.107
die	8	214928	5	5	0	4	23.729	-2.300
marquise	9	933	4	4	0	1	21.225	5.226
zeigend	10	37	2	2	0	1	20.749	8.882
meinte	11	1253	4	4	0	1	18.934	4.800
wahrhaftig	12	433	3	3	0	1	18.742	5.918
gesagt	13	2642	5	5	0	1	18.683	4.046
vous	14	66	2	2	0	2	18.392	8.047
tranquille	15	1	1	1	0	1	18.150	13.092
matska	15	1	1	1	0	1	18.150	13.092
juste	15	1	1	1	0	1	18.150	13.092
voilä	15	1	1	1	0	1	18.150	13.092
désire	15	1	1	1	0	1	18.150	13.092
rückkehrend	15	1	1	1	0	1	18.150	13.092
wissensdurstigen	15	1	1	1	0	1	18.150	13.092
sie	22	156573	38	38	0	6	17.376	1.083
gut	23	6012	6	6	0	1	15.388	3.123
flacons	24	2	1	1	0	1	15.377	12.092
kirchenbücher	24	2	1	1	0	1	15.377	12.092
schwätzchen	24	2	1	1	0	1	15.377	12.092
habe	27	14937	9	9	0	4	15.364	2.395
