Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
mamsell	1	53	23	23	0	1	347.042	11.936
frau	2	11840	30	30	0	3	131.443	4.516
ros	3	10	5	5	0	1	77.250	12.141
fragte	4	5030	15	15	0	3	70.188	4.751
sainte	5	63	6	6	0	1	69.727	9.748
sagte	6	20093	23	23	0	4	66.403	3.370
marie	7	896	6	6	0	3	37.503	5.918
meinte	8	1253	6	6	0	3	33.546	5.434
irlen	9	248	4	4	0	1	31.987	7.186
stammelte	10	126	3	3	0	1	26.334	7.748
daß	11	50854	21	21	0	5	24.814	1.899
schwester	12	1797	5	5	0	2	22.676	4.651
flüsterte	13	808	4	4	0	1	22.616	5.482
hauchte	14	42	2	2	0	1	20.366	8.748
spottete	15	47	2	2	0	1	19.906	8.586
fräulein	16	2422	5	5	0	3	19.825	4.221
anna	17	1314	4	4	0	1	18.830	4.781
eva	18	485	3	3	0	1	18.272	5.804
zurückzurennen	19	1	1	1	0	1	18.218	13.141
aimons	19	1	1	1	0	1	18.218	13.141
réaumur	19	1	1	1	0	1	18.218	13.141
kleinmütige	19	1	1	1	0	1	18.218	13.141
luxusstandpunkt	19	1	1	1	0	1	18.218	13.141
dorfkrug	19	1	1	1	0	1	18.218	13.141
opelwagen	19	1	1	1	0	1	18.218	13.141
geldbriefträger	19	1	1	1	0	1	18.218	13.141
königin	27	578	3	3	0	3	17.237	5.551
schreit	28	119	2	2	0	1	16.154	7.246
larisch	29	2	1	1	0	1	15.446	12.141
grabmälern	29	2	1	1	0	1	15.446	12.141
entkorken	29	2	1	1	0	1	15.446	12.141
