Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
die	1	214928	540	540	0	15	2670.811	4.446
frau	2	11840	89	89	0	5	577.460	6.027
der	3	192947	188	188	0	14	503.284	3.079
zur	4	9135	19	19	0	3	74.405	4.173
und	5	243043	1	1	0	1	48.184	-4.809
sie	6	156573	1	1	0	1	28.638	-4.174
adonis	7	41	2	2	0	1	20.302	8.725
bedächtigere	8	1	1	1	0	1	18.137	13.082
unheilbringende	8	1	1	1	0	1	18.137	13.082
zu	10	119245	2	2	0	1	15.938	-2.781
grausame	11	130	2	2	0	1	15.639	7.060
schöne	12	1940	4	4	0	1	15.540	4.160
verhasste	13	2	1	1	0	1	15.365	12.082
andalusische	13	2	1	1	0	1	15.365	12.082
kunstreiche	15	5	1	1	0	1	13.134	10.760
sich	16	82849	1	1	0	1	12.672	-3.256
