Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
das	1	91858	711	711	0	71	2728.294	3.992
junge	2	3453	208	208	0	54	1615.650	6.952
junges	3	259	126	126	0	46	1567.700	9.966
jungen	4	3493	175	175	0	47	1292.037	6.686
kleines	5	728	64	64	0	28	544.696	7.498
ein	6	67513	238	238	0	58	544.058	2.857
kleine	7	3188	77	77	0	30	453.740	5.634
beiden	8	4487	76	76	0	23	394.613	5.122
arme	9	2444	62	62	0	25	371.165	5.705
dieses	10	5597	72	72	0	25	335.148	4.725
schönes	11	464	31	31	0	21	245.978	7.102
kleinen	12	3633	51	51	0	28	245.791	4.851
dem	13	57412	140	140	0	47	230.693	2.326
hübsches	14	181	21	21	0	14	190.730	7.898
sie	15	156573	1	1	0	1	143.150	-6.251
die	16	214928	239	239	0	47	131.176	1.193
blinde	17	123	13	13	0	1	115.485	7.763
ich	18	124076	1	1	0	1	111.442	-5.915
schöne	19	1940	24	24	0	14	109.627	4.669
junger	20	907	19	19	0	14	106.336	5.428
armes	21	174	12	12	0	10	95.943	7.147
zu	22	119245	3	3	0	3	93.040	-4.273
er	23	116714	3	3	0	3	90.671	-4.242
hübschen	24	339	13	13	0	11	88.416	6.301
zwölfjähriges	25	7	6	6	0	5	85.809	10.783
anständiges	26	37	8	8	0	5	83.465	8.796
schönen	27	1918	19	19	0	16	78.645	4.348
armen	28	1652	18	18	0	9	77.788	4.485
sich	29	82849	1	1	0	1	71.622	-5.333
gutes	30	657	13	13	0	9	71.274	5.346
reizende	31	213	9	9	0	5	62.963	6.441
älteren	32	214	9	9	0	4	62.877	6.434
einem	33	20626	44	44	0	27	62.507	2.133
schlankes	34	11	5	5	0	5	61.138	9.868
reizendes	35	82	7	7	0	5	59.047	7.455
liebes	36	304	9	9	0	7	56.531	5.927
es	37	72406	2	2	0	2	55.265	-4.138
reizenden	38	205	8	8	0	4	54.681	6.326
war	39	60927	1	1	0	1	50.719	-4.889
auf	40	60442	1	1	0	1	50.259	-4.878
ehrbares	41	9	4	4	0	3	48.671	9.836
hübsche	42	311	8	8	0	5	48.007	5.725
alle	43	11439	28	28	0	14	45.788	2.331
verführtes	44	3	3	3	0	3	45.773	11.005
thörigtes	44	3	3	3	0	1	45.773	11.005
braves	46	12	4	4	0	4	45.763	9.421
und	47	243043	55	55	0	30	43.329	-1.104
diesem	48	6625	21	21	0	14	43.295	2.704
mit	49	73621	5	5	0	4	42.191	-2.840
schönste	50	276	7	7	0	6	41.808	5.704
dreizehnjähriges	51	4	3	3	0	2	41.275	10.590
zehnjähriges	52	5	3	3	0	3	39.045	10.269
gefallene	53	26	4	4	0	3	38.728	8.305
weinenden	53	26	4	4	0	3	38.728	8.305
ist	55	47932	1	1	0	1	38.471	-4.543
verkleidetes	56	6	3	3	0	2	37.458	10.005
wie	57	46768	1	1	0	1	37.381	-4.508
zwei	58	6480	19	19	0	13	36.669	2.592
tugendhaftes	59	7	3	3	0	3	36.216	9.783
tatarische	59	7	3	3	0	1	36.216	9.783
käuflichen	59	7	3	3	0	1	36.216	9.783
kluges	62	36	4	4	0	4	35.947	7.836
daß	63	50854	2	2	0	1	35.556	-3.629
nettes	64	38	4	4	0	3	35.491	7.758
sechzehnjährigen	65	8	3	3	0	2	35.193	9.590
eine	66	43567	1	1	0	1	34.391	-4.405
gutherzigen	67	9	3	3	0	3	34.321	9.421
aber	68	42540	1	1	0	1	33.434	-4.371
unglückliche	69	333	6	6	0	5	31.780	5.211
anderen	70	3288	13	13	0	8	31.750	3.023
jüngeren	71	176	5	5	0	3	30.990	5.868
schutzloses	72	2	2	2	0	2	30.515	11.005
sechzehnjähriges	72	2	2	2	0	2	30.515	11.005
achtjähriges	72	2	2	2	0	2	30.515	11.005
des	75	39223	1	1	0	1	30.353	-4.254
verständiges	76	18	3	3	0	3	29.567	8.421
andere	77	4360	14	14	0	7	29.153	2.723
kein	78	5864	16	16	0	12	28.960	2.488
liebenswürdiges	79	22	3	3	0	3	28.266	8.131
seltenes	80	24	3	3	0	2	27.708	8.005
nackter	81	26	3	3	0	3	27.199	7.890
mutige	82	27	3	3	0	2	26.959	7.836
ohnmächtige	82	27	3	3	0	2	26.959	7.836
blonde	84	108	4	4	0	3	26.916	6.251
dies	85	4801	14	14	0	7	26.879	2.584
siebenjähriges	86	3	2	2	0	2	26.697	10.421
unberührtes	86	3	2	2	0	2	26.697	10.421
hatte	88	35127	1	1	0	1	26.571	-4.095
schlanke	89	117	4	4	0	4	26.273	6.135
ältesten	90	128	4	4	0	4	25.552	6.005
an	91	44294	3	3	0	3	25.358	-2.844
zwanzigjähriges	92	4	2	2	0	2	24.971	10.005
erwerbenden	92	4	2	2	0	1	24.971	10.005
jenes	94	617	6	6	0	6	24.605	4.321
prächtiges	95	40	3	3	0	2	24.498	7.269
unsympathische	96	5	2	2	0	1	23.787	9.684
gefallenes	96	5	2	2	0	1	23.787	9.684
geliebtes	98	48	3	3	0	3	23.373	7.005
gekleidetes	99	6	2	2	0	2	22.880	9.421
der	100	192947	52	52	0	24	22.761	-0.852
