Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
ihrer	1	9585	361	361	0	52	2316.735	5.969
meine	2	12984	345	345	0	52	1972.558	5.466
ihre	3	17958	351	351	0	50	1794.536	5.023
die	4	214928	763	763	0	76	1532.981	2.562
seine	5	19668	321	321	0	47	1526.052	4.763
seiner	6	12544	279	279	0	53	1493.260	5.209
meiner	7	5501	206	206	0	46	1313.018	5.961
deine	8	2450	95	95	0	36	610.020	6.011
teure	9	162	46	46	0	2	489.580	8.883
der	10	192947	403	403	0	66	447.851	1.797
deiner	11	1153	44	44	0	25	280.673	5.988
groß	12	1201	29	29	0	1	158.469	5.328
liebe	13	5691	44	44	0	18	144.231	3.685
kindes	14	416	20	20	0	2	136.796	6.321
sie	15	156573	11	11	0	10	120.531	-3.097
er	16	116714	6	6	0	5	99.727	-3.548
ich	17	124076	8	8	0	6	98.435	-3.221
den	18	93109	2	2	0	2	95.270	-4.807
in	19	116231	8	8	0	3	89.917	-3.127
das	20	91858	3	3	0	2	87.576	-4.202
zur	21	9135	37	37	0	23	78.458	2.752
heinrichs	22	48	8	8	0	1	75.471	8.115
eine	23	43567	79	79	0	40	69.448	1.593
frau	24	11840	37	37	0	16	62.463	2.378
ein	25	67513	3	3	0	3	59.867	-3.758
sich	26	82849	7	7	0	4	58.554	-2.831
zu	27	119245	19	19	0	7	55.528	-1.916
dem	28	57412	2	2	0	2	53.881	-4.109
allerts	29	27	5	5	0	1	48.322	8.267
auf	30	60442	4	4	0	3	47.261	-3.184
so	31	51317	2	2	0	2	46.952	-3.947
gute	32	1882	14	14	0	11	44.819	3.629
es	33	72406	8	8	0	5	44.241	-2.444
eigene	34	866	10	10	0	10	40.268	4.263
nicht	35	82498	13	13	0	12	38.681	-1.932
verstorbenen	36	171	6	6	0	6	37.218	5.867
fritzens	37	6	3	3	0	1	36.187	9.700
heilige	38	396	7	7	0	3	33.936	4.878
arme	39	2444	13	13	0	11	33.703	3.145
alte	40	3498	15	15	0	13	33.227	2.834
bellinos	41	10	3	3	0	1	32.292	8.963
mich	42	33107	1	1	0	1	31.913	-4.315
ihr	43	31781	1	1	0	1	30.394	-4.256
wie	44	46768	5	5	0	4	29.090	-2.492
mit	45	73621	14	14	0	7	28.499	-1.661
ihm	46	28873	1	1	0	1	27.076	-4.118
zärtliche	47	110	4	4	0	4	25.097	5.918
war	48	60927	11	11	0	7	24.944	-1.736
ihn	49	26415	1	1	0	1	24.287	-3.989
fürsorgliche	50	4	2	2	0	2	24.124	9.700
ist	51	47932	7	7	0	7	23.934	-2.042
und	52	243043	92	92	0	42	23.751	-0.668
geängstigte	53	5	2	2	0	2	22.940	9.378
haiks	54	45	3	3	0	1	22.508	6.793
alten	55	3555	12	12	0	8	21.730	2.489
unserer	56	1424	8	8	0	6	21.514	3.224
um	57	27743	2	2	0	1	20.928	-3.060
nee	58	59	3	3	0	2	20.850	6.402
keine	59	7374	17	17	0	15	20.617	1.939
besorgte	60	70	3	3	0	3	19.813	6.155
mariannens	61	11	2	2	0	1	19.247	8.240
teresas	61	11	2	2	0	1	19.247	8.240
was	63	26085	2	2	0	2	19.175	-2.971
daß	64	50854	10	10	0	4	18.895	-1.612
mutter	65	4865	13	13	0	9	18.674	2.152
wronskis	66	91	3	3	0	1	18.233	5.777
korys	67	14	2	2	0	1	18.198	7.892
nur	68	24958	2	2	0	2	17.992	-2.907
man	69	24885	2	2	0	2	17.916	-2.903
liebende	70	97	3	3	0	3	17.851	5.685
eure	71	566	5	5	0	4	17.597	3.877
guten	72	1908	8	8	0	7	17.403	2.802
von	73	66878	17	17	0	11	17.269	-1.242
mir	74	34415	5	5	0	5	17.239	-2.049
da	75	20079	1	1	0	1	17.194	-3.594
zärtlichste	76	18	2	2	0	2	17.128	7.530
geliebte	77	669	5	5	0	4	16.042	3.636
du	78	26617	3	3	0	3	16.003	-2.415
