Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
sagte	1	20093	22	22	0	2	82.137	4.020
fragte	2	5030	13	13	0	1	69.789	5.259
fragt	3	412	7	7	0	1	63.664	7.976
sagt	4	2122	9	9	0	1	57.003	5.974
schwägerin	5	97	3	3	0	1	30.889	8.840
kronen	6	149	3	3	0	1	28.287	8.221
still	7	1210	4	4	0	1	23.337	5.614
august	8	1364	4	4	0	1	22.398	5.442
sollen	9	1652	4	4	0	1	20.902	5.165
lebensmittelnot	10	1	1	1	0	1	19.209	13.855
zuschaust	10	1	1	1	0	1	19.209	13.855
herumzieht	10	1	1	1	0	1	19.209	13.855
erwiderte	13	2177	4	4	0	1	18.762	4.767
nein	14	4461	5	5	0	1	18.748	4.054
erwidert	15	107	2	2	0	1	18.555	8.114
agenten	16	112	2	2	0	1	18.372	8.048
antwortet	17	161	2	2	0	1	16.915	7.524
verflixte	18	2	1	1	0	1	16.437	12.855
gutzustehen	18	2	1	1	0	1	16.437	12.855
sturmschnur	18	2	1	1	0	1	16.437	12.855
ja	21	13683	7	7	0	1	16.277	2.922
aber	22	42540	12	12	0	2	16.227	2.064
milch	23	207	2	2	0	1	15.911	7.162
kleine	24	3188	4	4	0	1	15.844	4.217
kaue	25	3	1	1	0	1	15.390	12.270
bankaktien	26	4	1	1	0	1	14.711	11.855
heraufzukommen	26	4	1	1	0	1	14.711	11.855
feixt	26	4	1	1	0	1	14.711	11.855
fährt	29	288	2	2	0	1	14.595	6.685
joakim	30	295	2	2	0	1	14.500	6.651
aufzutischen	31	5	1	1	0	1	14.206	11.533
erdballs	31	5	1	1	0	1	14.206	11.533
margarine	31	5	1	1	0	1	14.206	11.533
bezweckte	31	5	1	1	0	1	14.206	11.533
