Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
meine	1	12984	199	199	0	41	1318.262	6.109
meiner	2	5501	120	120	0	26	874.008	6.618
seiner	3	12544	138	138	0	27	818.642	5.630
ihre	4	17958	124	124	0	32	621.364	4.958
seine	5	19668	126	126	0	32	613.160	4.850
ihrer	6	9585	100	100	0	25	580.633	5.554
die	7	214928	190	190	0	45	252.400	1.993
deine	8	2450	38	38	0	15	249.162	6.126
jüngere	9	128	15	15	0	8	160.060	9.044
deiner	10	1153	22	22	0	14	153.138	6.425
liebe	11	5691	33	33	0	10	152.583	4.707
ältere	12	198	14	14	0	11	134.576	8.315
älteren	13	214	10	10	0	8	87.602	7.717
teure	14	162	9	9	0	2	82.020	7.967
fräulein	15	2422	13	13	0	2	58.038	4.595
eine	16	43567	41	41	0	24	56.332	2.083
arme	17	2444	12	12	0	7	51.516	4.467
dienende	18	17	4	4	0	1	48.764	10.049
der	19	192947	94	94	0	31	46.910	1.133
sie	20	156573	4	4	0	2	44.785	-3.120
zu	21	119245	1	1	0	1	44.782	-4.727
er	22	116714	1	1	0	1	43.685	-4.696
in	23	116231	1	1	0	1	43.475	-4.690
schwarze	24	651	7	7	0	1	40.706	5.597
barmherzige	25	13	3	3	0	2	36.439	10.021
theuere	26	96	4	4	0	1	34.094	7.552
leibliche	27	24	3	3	0	3	32.404	9.137
nicht	28	82498	1	1	0	1	28.998	-4.195
zierliche	29	58	3	3	0	1	26.891	7.864
es	30	72406	1	1	0	1	24.736	-4.007
kleine	31	3188	8	8	0	6	24.258	3.498
sich	32	82849	2	2	0	2	24.076	-3.202
liebenswürdige	33	98	3	3	0	3	23.697	7.107
hochherzigen	34	17	2	2	0	1	21.344	9.049
schöne	35	1940	6	6	0	3	20.500	3.800
eure	36	566	4	4	0	4	19.968	4.992
barmherzigen	37	26	2	2	0	2	19.561	8.436
junge	38	3453	7	7	0	5	18.526	3.190
verstorbene	39	47	2	2	0	2	17.130	7.582
engeline	40	1	1	1	0	1	16.825	12.137
ebenbesagter	40	1	1	1	0	1	16.825	12.137
nachsichtigste	40	1	1	1	0	1	16.825	12.137
grätschende	40	1	1	1	0	1	16.825	12.137
traumverlorene	40	1	1	1	0	1	16.825	12.137
herzschwache	40	1	1	1	0	1	16.825	12.137
verkörpernde	40	1	1	1	0	1	16.825	12.137
tiefgeliebten	40	1	1	1	0	1	16.825	12.137
geketteten	40	1	1	1	0	1	16.825	12.137
verhaßten	49	62	2	2	0	1	16.008	7.182
starke	50	367	3	3	0	2	15.825	5.202
war	51	60927	2	2	0	1	15.491	-2.758
liebliche	52	87	2	2	0	2	14.645	6.694
kittys	52	87	2	2	0	1	14.645	6.694
