Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
meine	1	12984	104	104	0	1	679.169	6.049
sagte	2	20093	52	52	0	5	222.088	4.419
fräulein	3	2422	28	28	0	3	201.037	6.578
meiner	4	5501	26	26	0	1	140.701	5.288
theuere	5	96	10	10	0	1	116.364	9.750
liebe	6	5691	17	17	0	2	76.714	4.626
angebetete	7	42	6	6	0	1	73.833	10.205
fragte	8	5030	14	14	0	2	61.236	4.524
ach	9	2381	10	10	0	1	51.655	5.117
theuerste	10	34	4	4	0	1	47.552	9.925
erwiderte	11	2177	9	9	0	1	46.204	5.095
geliebte	12	669	6	6	0	1	39.920	6.212
die	13	214928	2	2	0	1	38.350	-3.701
deine	14	2450	8	8	0	1	37.404	4.754
angebeteten	15	26	3	3	0	1	35.537	9.897
geliebten	16	822	5	5	0	1	29.428	5.652
dachte	17	2839	7	7	0	1	28.951	4.349
der	18	192947	3	3	0	2	28.811	-2.960
sah	19	8322	10	10	0	3	28.021	3.312
rief	20	4874	8	8	0	2	26.968	3.762
teuere	21	10	2	2	0	1	26.077	10.691
in	22	116231	1	1	0	1	21.016	-3.814
missgriffen	23	1	1	1	0	1	18.041	13.013
allzuglückliche	23	1	1	1	0	1	18.041	13.013
herzigen	23	1	1	1	0	1	18.041	13.013
frühlingsmorgens	23	1	1	1	0	1	18.041	13.013
gravörwillis	23	1	1	1	0	1	18.041	13.013
dass	28	4498	6	6	0	1	17.928	3.463
senatorin	29	73	2	2	0	1	17.766	7.823
nannte	30	643	3	3	0	1	16.091	5.269
das	31	91858	1	1	0	1	15.518	-3.474
abwechslungsweise	32	2	1	1	0	1	15.268	12.013
darreichend	32	2	1	1	0	1	15.268	12.013
verteilend	32	2	1	1	0	1	15.268	12.013
autoritativ	32	2	1	1	0	1	15.268	12.013
unfroh	32	2	1	1	0	1	15.268	12.013
sie	37	156573	5	5	0	2	14.770	-1.922
