Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
meine	1	12984	155	155	0	35	980.334	5.903
seine	2	19668	153	153	0	39	838.279	5.285
ihre	3	17958	148	148	0	37	827.188	5.369
seiner	4	12544	128	128	0	33	767.637	5.677
ihrer	5	9585	99	99	0	34	594.291	5.694
die	6	214928	249	249	0	56	492.366	2.538
älteste	7	107	22	22	0	14	266.480	10.010
meiner	8	5501	44	44	0	22	240.522	5.326
deine	9	2450	30	30	0	13	188.911	5.940
eine	10	43567	62	62	0	33	138.889	2.835
schöne	11	1940	17	17	0	12	95.698	5.457
einzige	12	1431	14	14	0	12	81.818	5.616
eigene	13	866	12	12	0	8	78.376	6.118
fräulein	14	2422	13	13	0	4	60.732	4.750
anbetungswürdige	15	15	4	4	0	1	50.776	10.385
höhere	16	150	5	5	0	3	41.428	7.385
fünfzehnjährige	17	9	3	3	0	2	39.670	10.707
fulvias	18	16	3	3	0	1	35.687	9.877
liebe	19	5691	12	12	0	6	34.960	3.402
ältesten	20	128	4	4	0	3	32.619	7.292
geliebten	21	822	6	6	0	5	31.589	5.194
einzigen	22	843	6	6	0	6	31.294	5.157
erwachsene	23	37	3	3	0	3	30.315	8.667
eure	24	566	5	5	0	5	28.190	5.469
geliebte	25	669	5	5	0	3	26.552	5.228
zwölfjährige	26	6	2	2	0	2	26.445	10.707
jüngste	27	72	3	3	0	3	26.211	7.707
sich	28	82849	1	1	0	1	25.595	-4.047
s	29	6391	10	10	0	3	23.805	2.972
briscoes	30	11	2	2	0	1	23.654	9.832
jüngere	31	128	3	3	0	3	22.725	6.877
der	32	192947	71	71	0	31	22.611	0.883
leibliche	33	24	2	2	0	2	20.323	8.707
unserer	34	1424	5	5	0	2	19.278	4.138
bürgers	35	32	2	2	0	2	19.131	8.292
wunderschöne	36	35	2	2	0	2	18.763	8.162
dessen	37	3849	7	7	0	6	18.513	3.189
verheirateten	38	38	2	2	0	2	18.426	8.044
verheiratete	39	43	2	2	0	2	17.921	7.865
kriegers	40	45	2	2	0	2	17.735	7.800
mit	41	73621	2	2	0	2	17.498	-2.876
war	42	60927	1	1	0	1	17.390	-3.603
auf	43	60442	1	1	0	1	17.211	-3.592
säugammen	44	1	1	1	0	1	17.040	12.292
missbrauchten	44	1	1	1	0	1	17.040	12.292
anspruchlosere	44	1	1	1	0	1	17.040	12.292
hypseus	44	1	1	1	0	1	17.040	12.292
wiesenbauers	44	1	1	1	0	1	17.040	12.292
vermögenslose	44	1	1	1	0	1	17.040	12.292
brabantios	44	1	1	1	0	1	17.040	12.292
bucklichten	44	1	1	1	0	1	17.040	12.292
ruhlos	44	1	1	1	0	1	17.040	12.292
götterfunke	44	1	1	1	0	1	17.040	12.292
parkers	44	1	1	1	0	1	17.040	12.292
zigen	44	1	1	1	0	1	17.040	12.292
nereus	44	1	1	1	0	1	17.040	12.292
vogelwarts	44	1	1	1	0	1	17.040	12.292
alberada	44	1	1	1	0	1	17.040	12.292
dschehans	59	56	2	2	0	1	16.847	7.484
kleine	60	3188	6	6	0	2	16.232	3.238
theuere	61	96	2	2	0	1	14.677	6.707
liebende	62	97	2	2	0	2	14.635	6.692
ältisten	63	2	1	1	0	1	14.268	11.292
kamelie	63	2	1	1	0	1	14.268	11.292
jungverheirateten	63	2	1	1	0	1	14.268	11.292
einer	66	18577	13	13	0	11	14.103	1.811
jüngsten	67	115	2	2	0	1	13.955	6.446
