Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
ein	1	67513	251	251	0	55	1076.984	4.346
das	2	91858	276	276	0	50	1076.643	4.039
altes	3	243	32	32	0	21	362.298	9.493
mein	4	13206	62	62	0	19	286.029	4.683
dieses	5	5597	38	38	0	19	201.950	5.215
sein	6	24603	53	53	0	20	166.193	3.559
schönes	7	464	17	17	0	9	147.207	7.647
junges	8	259	14	14	0	13	132.297	8.208
kein	9	5864	22	22	0	13	91.470	4.359
dein	10	1947	15	15	0	9	83.204	5.397
geliebtes	11	48	7	7	0	4	80.669	9.640
alte	12	3498	17	17	0	9	79.073	4.733
arme	13	2444	15	15	0	10	76.540	5.069
angebetetes	14	11	5	5	0	2	70.933	11.280
ses	15	249	8	8	0	1	67.098	7.458
junge	16	3453	15	15	0	11	66.510	4.571
als	17	46415	41	41	0	21	64.898	2.273
sterbliches	18	8	4	4	0	4	57.780	11.418
sittenloses	19	3	3	3	0	1	51.649	12.418
sie	20	156573	2	2	0	2	43.084	-3.839
schlechtes	21	143	5	5	0	3	42.782	7.580
schöne	22	1940	9	9	0	7	41.010	4.666
hübsches	23	181	5	5	0	5	40.402	7.240
meinem	24	3938	11	11	0	1	39.525	3.934
schwaches	25	62	4	4	0	3	39.227	8.463
liebendes	26	12	3	3	0	3	38.157	10.418
eheliches	26	12	3	3	0	1	38.157	10.418
ich	28	124076	1	1	0	1	37.440	-4.503
anderes	29	1219	7	7	0	5	34.777	4.973
potiphars	30	2	2	2	0	2	34.432	12.418
angetrautes	30	2	2	2	0	1	34.432	12.418
liebenswürdiges	32	22	3	3	0	2	34.131	9.543
göttliches	33	26	3	3	0	3	33.061	9.302
entzückendes	34	33	3	3	0	3	31.554	8.958
kluges	35	36	3	3	0	3	31.009	8.833
verworfenes	36	3	2	2	0	1	30.613	11.833
evangelisches	36	3	2	2	0	1	30.613	11.833
echtes	38	39	3	3	0	3	30.510	8.717
jedes	39	1094	6	6	0	5	29.270	4.907
schamloses	40	4	2	2	0	1	28.887	11.418
wirkliches	41	55	3	3	0	2	28.383	8.221
jenes	42	617	5	5	0	2	28.198	5.470
herrliches	43	68	3	3	0	3	27.082	7.915
rechtmäßiges	44	6	2	2	0	2	26.795	10.833
heroisches	44	6	2	2	0	1	26.795	10.833
verlassenes	46	9	2	2	0	2	24.899	10.248
nicht	47	82498	1	1	0	1	22.869	-3.914
griechisches	48	15	2	2	0	1	22.656	9.511
griechische	49	144	3	3	0	1	22.537	6.833
nacktes	50	16	2	2	0	2	22.380	9.418
zu	51	119245	4	4	0	3	22.248	-2.446
den	52	93109	2	2	0	1	21.629	-3.089
sündige	53	20	2	2	0	1	21.435	9.096
armes	54	174	3	3	0	3	21.401	6.560
dies	55	4801	8	8	0	3	21.161	3.188
krankes	56	22	2	2	0	1	21.035	8.958
dämonische	57	23	2	2	0	1	20.849	8.894
schamlose	58	30	2	2	0	1	19.746	8.511
es	59	72406	1	1	0	1	19.407	-3.726
unglückliches	60	35	2	2	0	2	19.111	8.288
bruders	61	272	3	3	0	3	18.738	5.915
liebes	62	304	3	3	0	3	18.078	5.755
gewöhnliches	63	48	2	2	0	2	17.821	7.833
unglückliche	64	333	3	3	0	2	17.540	5.623
männische	65	1	1	1	0	1	17.215	12.418
finniges	65	1	1	1	0	1	17.215	12.418
begünstigtes	65	1	1	1	0	1	17.215	12.418
kupfergelbes	65	1	1	1	0	1	17.215	12.418
afghanisches	65	1	1	1	0	1	17.215	12.418
steinalte	65	1	1	1	0	1	17.215	12.418
scharlachenes	65	1	1	1	0	1	17.215	12.418
stahlkräftige	65	1	1	1	0	1	17.215	12.418
todtkrankes	65	1	1	1	0	1	17.215	12.418
weiblichsten	65	1	1	1	0	1	17.215	12.418
grundschlechtes	65	1	1	1	0	1	17.215	12.418
verachtenswertes	65	1	1	1	0	1	17.215	12.418
gottesfürchtiges	65	1	1	1	0	1	17.215	12.418
geschaffenes	65	1	1	1	0	1	17.215	12.418
dahintanzende	65	1	1	1	0	1	17.215	12.418
aschfahle	65	1	1	1	0	1	17.215	12.418
neunzehntel	65	1	1	1	0	1	17.215	12.418
verwitwetes	65	1	1	1	0	1	17.215	12.418
erdhaftes	65	1	1	1	0	1	17.215	12.418
kreisendes	65	1	1	1	0	1	17.215	12.418
treuloses	65	1	1	1	0	1	17.215	12.418
ulkiges	65	1	1	1	0	1	17.215	12.418
zorück	65	1	1	1	0	1	17.215	12.418
grausliches	65	1	1	1	0	1	17.215	12.418
ausgekochtes	65	1	1	1	0	1	17.215	12.418
halbverrücktes	65	1	1	1	0	1	17.215	12.418
wunderbares	91	61	2	2	0	2	16.848	7.487
süßes	92	64	2	2	0	1	16.654	7.418
verdammte	93	65	2	2	0	2	16.592	7.395
neue	94	2112	5	5	0	3	16.409	3.695
alten	95	3555	6	6	0	3	16.001	3.207
reizendes	96	82	2	2	0	2	15.656	7.060
fremdes	96	82	2	2	0	2	15.656	7.060
war	98	60927	1	1	0	1	15.524	-3.477
auf	99	60442	1	1	0	1	15.361	-3.466
nackte	100	100	2	2	0	1	14.860	6.774
