Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
seinen	1	9717	18	18	0	9	97.076	5.262
mein	2	13279	16	16	0	11	72.866	4.641
unser	3	1783	8	8	0	6	56.880	6.538
als	4	45374	20	20	0	14	53.686	3.191
gesehener	5	9	3	3	0	2	48.197	12.753
den	6	92383	25	25	0	15	46.230	2.487
ein	7	66554	21	21	0	14	44.112	2.708
seinem	8	8088	9	9	0	6	39.459	4.527
jeden	9	1784	6	6	0	5	39.206	6.122
genderneutral	10	248	4	4	0	1	38.620	8.384
unheimliche	11	81	3	3	0	2	33.999	9.583
der	12	189877	31	31	0	17	33.160	1.758
rern	13	10	2	2	0	2	29.757	12.016
willkommener	14	15	2	2	0	2	27.985	11.431
sein	15	23865	10	10	0	9	25.730	3.117
lieben	16	1390	4	4	0	3	24.887	5.897
vornehmste	17	38	2	2	0	2	24.097	10.090
dem	18	56253	14	14	0	10	23.686	2.366
verehrte	19	76	2	2	0	1	21.274	9.090
seltener	20	78	2	2	0	1	21.169	9.053
unerwarteten	21	86	2	2	0	2	20.774	8.912
einen	22	25603	9	9	0	8	20.366	2.864
häufiger	23	107	2	2	0	2	19.893	8.597
einem	24	20014	8	8	0	6	19.883	3.049
wunderbarlicher	25	1	1	1	0	1	19.879	14.338
allabendlicher	25	1	1	1	0	1	19.879	14.338
unwillkommener	25	1	1	1	0	1	19.879	14.338
häufigster	25	1	1	1	0	1	19.879	14.338
emporgeschlichenen	25	1	1	1	0	1	19.879	14.338
jeder	30	2889	4	4	0	3	19.171	4.842
deren	31	2979	4	4	0	4	18.934	4.798
hoher	32	204	2	2	0	2	17.303	7.666
zu	33	117655	18	18	0	9	17.284	1.664
sonderbaren	34	207	2	2	0	1	17.245	7.645
willkommner	35	2	1	1	0	1	17.107	13.338
einsprechende	35	2	1	1	0	1	17.107	13.338
unfromme	35	2	1	1	0	1	17.107	13.338
ungebetenen	35	2	1	1	0	1	17.107	13.338
ungebetener	35	2	1	1	0	1	17.107	13.338
eifrigster	35	2	1	1	0	1	17.107	13.338
indiskreter	35	2	1	1	0	1	17.107	13.338
und	42	238473	1	1	0	1	16.433	-3.525
gesättigter	43	3	1	1	0	1	16.061	12.753
ungebetene	43	3	1	1	0	1	16.061	12.753
anspruchsloser	43	3	1	1	0	1	16.061	12.753
enthauptete	43	3	1	1	0	1	16.061	12.753
verspäteter	47	4	1	1	0	1	15.381	12.338
ungeladenen	47	4	1	1	0	1	15.381	12.338
ungebundenen	47	4	1	1	0	1	15.381	12.338
temperamentvolle	47	4	1	1	0	1	15.381	12.338
schönen	51	1867	3	3	0	3	15.237	5.057
spaßhafter	52	6	1	1	0	1	14.473	11.753
mühsamer	53	7	1	1	0	1	14.138	11.531
unerwünschten	53	7	1	1	0	1	14.138	11.531
erwartete	55	488	2	2	0	1	13.830	6.407
höllischer	56	9	1	1	0	1	13.601	11.168
