Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
ein	1	66554	36	36	0	23	125.064	3.769
dieses	2	5544	11	11	0	7	64.900	5.644
arme	3	2382	9	9	0	5	64.489	6.573
kleines	4	700	6	6	0	6	52.726	7.755
junge	5	3259	8	8	0	4	50.476	5.951
unglückliches	6	35	3	3	0	3	40.364	11.077
süßes	7	62	3	3	0	3	36.818	10.252
reizendes	8	79	3	3	0	3	35.334	9.903
solches	9	716	4	4	0	4	31.708	7.138
verlassenes	10	9	2	2	0	2	31.018	12.452
genderneutral	11	248	3	3	0	1	28.404	8.252
junges	12	253	3	3	0	3	28.284	8.223
liebliches	13	30	2	2	0	2	25.858	10.715
entzückende	14	64	2	2	0	2	22.757	9.621
liebliche	15	84	2	2	0	2	21.656	9.229
niegetauftes	16	1	1	1	0	1	20.273	14.621
federlosen	16	1	1	1	0	1	20.273	14.621
gallevollers	16	1	1	1	0	1	20.273	14.621
erzgutes	16	1	1	1	0	1	20.273	14.621
dienstfertigste	16	1	1	1	0	1	20.273	14.621
disputiersüchtiges	16	1	1	1	0	1	20.273	14.621
muntres	16	1	1	1	0	1	20.273	14.621
gottbegnadetes	16	1	1	1	0	1	20.273	14.621
dankbarste	16	1	1	1	0	1	20.273	14.621
kapriziöses	16	1	1	1	0	1	20.273	14.621
verworfenste	16	1	1	1	0	1	20.273	14.621
hülfloses	16	1	1	1	0	1	20.273	14.621
allerschlechteste	16	1	1	1	0	1	20.273	14.621
bemitleidenswertes	16	1	1	1	0	1	20.273	14.621
bildschönste	16	1	1	1	0	1	20.273	14.621
boshafteres	16	1	1	1	0	1	20.273	14.621
herzensgutes	16	1	1	1	0	1	20.273	14.621
umwallten	16	1	1	1	0	1	20.273	14.621
verläßliches	16	1	1	1	0	1	20.273	14.621
betrachtetes	16	1	1	1	0	1	20.273	14.621
begnadetes	16	1	1	1	0	1	20.273	14.621
altruistische	16	1	1	1	0	1	20.273	14.621
friedloses	16	1	1	1	0	1	20.273	14.621
manierlicheres	16	1	1	1	0	1	20.273	14.621
asozialste	16	1	1	1	0	1	20.273	14.621
schöners	41	2	1	1	0	1	17.500	13.621
unausstehliches	41	2	1	1	0	1	17.500	13.621
verächtlichste	41	2	1	1	0	1	17.500	13.621
hinterhältiges	41	2	1	1	0	1	17.500	13.621
unscheinbares	41	2	1	1	0	1	17.500	13.621
leichtgläubiges	41	2	1	1	0	1	17.500	13.621
betrogenes	41	2	1	1	0	1	17.500	13.621
hinsterbende	41	2	1	1	0	1	17.500	13.621
vollgültiges	41	2	1	1	0	1	17.500	13.621
erzogenes	41	2	1	1	0	1	17.500	13.621
witterndes	41	2	1	1	0	1	17.500	13.621
breitschultriges	41	2	1	1	0	1	17.500	13.621
hingegangenen	41	2	1	1	0	1	17.500	13.621
spleenigen	41	2	1	1	0	1	17.500	13.621
bedauernswertes	55	3	1	1	0	1	16.454	13.037
gutmütigste	55	3	1	1	0	1	16.454	13.037
verdorbenes	55	3	1	1	0	1	16.454	13.037
fesselndes	55	3	1	1	0	1	16.454	13.037
seidiges	55	3	1	1	0	1	16.454	13.037
dein	60	1898	3	3	0	2	16.291	5.316
liebenswürdigeres	61	4	1	1	0	1	15.774	12.621
boshafteste	61	4	1	1	0	1	15.774	12.621
entzückendste	61	4	1	1	0	1	15.774	12.621
wimmerndes	61	4	1	1	0	1	15.774	12.621
lebensfrohe	61	4	1	1	0	1	15.774	12.621
hingebendes	66	5	1	1	0	1	15.269	12.300
auserlesenes	66	5	1	1	0	1	15.269	12.300
unsauberes	66	5	1	1	0	1	15.269	12.300
rassige	66	5	1	1	0	1	15.269	12.300
sprühende	66	5	1	1	0	1	15.269	12.300
liebenswertes	66	5	1	1	0	1	15.269	12.300
das	72	89630	13	13	0	8	15.104	1.870
undankbares	73	6	1	1	0	1	14.866	12.037
sündiges	73	6	1	1	0	1	14.866	12.037
herziges	73	6	1	1	0	1	14.866	12.037
niedrigste	73	6	1	1	0	1	14.866	12.037
hübscheres	73	6	1	1	0	1	14.866	12.037
preisgegebenen	73	6	1	1	0	1	14.866	12.037
selbständiges	73	6	1	1	0	1	14.866	12.037
jungfräuliches	73	6	1	1	0	1	14.866	12.037
ruhelose	81	7	1	1	0	1	14.532	11.814
vereinsamte	81	7	1	1	0	1	14.532	11.814
elendiglich	81	7	1	1	0	1	14.532	11.814
verlangende	81	7	1	1	0	1	14.532	11.814
leichtsinniges	81	7	1	1	0	1	14.532	11.814
vierzehnjährigen	81	7	1	1	0	1	14.532	11.814
liebenswerte	87	8	1	1	0	1	14.245	11.621
erträumte	87	8	1	1	0	1	14.245	11.621
grinsende	87	8	1	1	0	1	14.245	11.621
thörichtes	87	8	1	1	0	1	14.245	11.621
erwartungsvolle	87	8	1	1	0	1	14.245	11.621
unabhängiges	87	8	1	1	0	1	14.245	11.621
anmutiges	93	9	1	1	0	1	13.994	11.452
verblendete	94	10	1	1	0	1	13.772	11.300
schwächliche	94	10	1	1	0	1	13.772	11.300
unnahbare	94	10	1	1	0	1	13.772	11.300
raffinierte	94	10	1	1	0	1	13.772	11.300
untergeordnete	98	11	1	1	0	1	13.572	11.162
