Collocate,Rank,Freq(Scaled),FreqLR,FreqL,FreqR,Range,Likelihood,Effect
das,1,89630,718,718,0,63,3224238,4435
ein,2,66554,441,441,0,76,1775950,4161
mein,3,13279,249,249,0,55,1491566,5662
liebes,4,300,112,112,0,34,1377867,9978
kleines,5,700,58,58,0,24,518181,7806
armes,6,166,32,32,0,19,343372,9024
ihr,7,31385,95,95,0,44,235035,3031
dieses,8,5544,47,47,0,21,205462,4517
kein,9,5658,43,43,0,25,178912,4359
arme,10,2382,33,33,0,17,175604,5226
einziges,11,408,20,20,0,15,156845,7049
die,12,211543,1,1,0,1,148021,-6292
als,13,45374,76,76,0,35,112286,2177
der,14,189877,4,4,0,2,111214,-4136
schönes,15,438,15,15,0,12,106719,6531
sie,16,153582,1,1,0,1,104743,-5830
jedes,17,1034,17,17,0,15,96098,5473
sein,18,23865,49,49,0,27,88152,2471
geliebtes,19,44,8,8,0,5,84744,8940
ungezogenes,20,6,5,5,0,4,73615,11136
zu,21,117655,2,2,0,2,71410,-4445
törichtes,22,21,6,6,0,4,69711,9592
teures,22,21,6,6,0,3,69711,9592
genderneutral,24,248,9,9,0,1,65065,6615
reizendes,25,79,7,7,0,4,63397,7903
eigenes,26,403,9,9,0,8,56312,5914
unglückliches,27,35,5,5,0,3,50335,8592
gutes,28,620,9,9,0,7,48647,5293
zartes,29,53,5,5,0,3,45935,7993
es,30,70024,1,1,0,1,43567,-4696
liebenswürdiges,31,21,4,4,0,3,42778,9007
halbes,32,175,6,6,0,6,42684,6533
artiges,33,24,4,4,0,4,41603,8814
reizende,34,222,6,6,0,2,39819,6190
liebliches,35,30,4,4,0,3,39674,8492
schlafende,36,32,4,4,0,3,39123,8399
theures,37,6,3,3,0,1,39095,10399
geistes,38,253,6,6,0,6,38253,6001
thörichtes,39,8,3,3,0,1,36829,9984
war,40,59294,1,1,0,1,35889,-4457
res,41,316,6,6,0,2,35603,5680
dein,42,1898,10,10,0,7,34586,3831
liebe,43,5482,15,15,0,7,34149,2885
dies,44,4673,14,14,0,7,34084,3016
allerliebstes,45,13,3,3,0,1,33373,9284
herrliches,46,67,4,4,0,3,32958,7333
ahnungsloses,47,2,2,2,0,2,31606,11399
getröstetes,47,2,2,2,0,2,31606,11399
krankes,49,18,3,3,0,3,31201,8814
liebenswürdige,50,100,4,4,0,2,29697,6755
einzige,51,1366,8,8,0,7,29248,3983
grausames,52,27,3,3,0,1,28591,8229
nicht,53,80222,6,6,0,5,28413,-2308
theueres,54,3,2,2,0,1,27788,10814
furchtsames,54,3,2,2,0,2,27788,10814
spielendes,54,3,2,2,0,2,27788,10814
gekommenes,54,3,2,2,0,2,27788,10814
uneheliches,54,3,2,2,0,2,27788,10814
gebranntes,54,3,2,2,0,2,27788,10814
erstes,60,140,4,4,0,4,26988,6270
gebildete,61,39,3,3,0,1,26284,7699
anbetungswürdiges,62,4,2,2,0,1,26063,10399
fünfjähriges,62,4,2,2,0,2,26063,10399
schlafendes,62,4,2,2,0,2,26063,10399
neugeborenes,62,4,2,2,0,2,26063,10399
auf,66,59180,3,3,0,3,26023,-2869
unser,67,1783,8,8,0,4,25283,3599
an,68,44093,1,1,0,1,25153,-4029
zehnjähriges,69,5,2,2,0,2,24878,10077
dreijähriges,69,5,2,2,0,2,24878,10077
bloßes,71,52,3,3,0,2,24507,7284
uneheliche,72,6,2,2,0,1,23971,9814
und,73,238473,47,47,0,24,23924,-910
verzogenes,74,7,2,2,0,2,23234,9592
jüngstes,75,8,2,2,0,2,22613,9399
jüngste,76,73,3,3,0,3,22436,6794
ges,77,274,4,4,0,2,21659,5301
eigen,78,275,4,4,0,3,21630,5296
garstiges,79,10,2,2,0,2,21604,9077
dem,80,56253,45,45,0,21,21194,1111
mit,81,72494,7,7,0,5,21008,-1939
reine,82,315,4,4,0,2,20566,5100
marias,83,13,2,2,0,1,20452,8699
älteste,84,105,3,3,0,2,20240,6270
wunderschönes,85,14,2,2,0,2,20132,8592
oldenburgs,85,14,2,2,0,1,20132,8592
vollständiges,85,14,2,2,0,1,20132,8592
seltsames,88,123,3,3,0,2,19292,6042
tes,89,402,4,4,0,2,18668,4748
liebstes,90,21,2,2,0,2,18412,8007
mich,91,33487,1,1,0,1,17812,-3632
göttliches,92,25,2,2,0,1,17685,7755
von,93,65870,7,7,0,5,17412,-1801
ses,94,494,4,4,0,2,17080,4451
hübsches,95,179,3,3,0,3,17059,5500
des,96,38675,2,2,0,2,16823,-2840
natürliches,97,31,2,2,0,1,16796,7445
öffentliches,97,31,2,2,0,2,16796,7445
ner,99,1717,6,6,0,2,16234,3238
echtes,100,38,2,2,0,2,15962,7151
