Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
dem	1	56253	101	101	0	27	633.971	5.658
ihrem	2	6436	37	37	0	18	307.973	7.337
einem	3	20014	30	30	0	17	169.077	5.398
diesem	4	6438	15	15	0	10	96.746	6.034
seinem	5	8088	11	11	0	7	59.169	5.257
deinem	6	806	5	5	0	3	41.793	7.447
einzigen	7	814	5	5	0	4	41.694	7.433
jedem	8	1326	5	5	0	5	36.838	6.729
armen	9	1534	5	5	0	5	35.393	6.518
kleinen	10	3520	5	5	0	3	27.217	5.320
teuren	11	59	2	2	0	1	23.527	9.897
meinem	12	3872	4	4	0	4	19.285	4.861
lieben	13	1390	3	3	0	3	18.771	5.924
genderneutral	14	248	2	2	0	1	17.744	7.825
goldhaarigen	15	2	1	1	0	1	17.720	13.780
ungeborenen	16	4	1	1	0	1	15.994	12.780
plappernden	16	4	1	1	0	1	15.994	12.780
angsterfüllten	18	6	1	1	0	1	15.086	12.195
klügeren	18	6	1	1	0	1	15.086	12.195
unartigen	20	7	1	1	0	1	14.751	11.972
heranwachsenden	21	8	1	1	0	1	14.464	11.780
unmündigen	21	8	1	1	0	1	14.464	11.780
unbesonnenen	23	13	1	1	0	1	13.442	11.079
bittenden	23	13	1	1	0	1	13.442	11.079
schöneren	25	16	1	1	0	1	13.012	10.780
beraubten	26	17	1	1	0	1	12.887	10.692
durstigen	26	17	1	1	0	1	12.887	10.692
getöteten	28	21	1	1	0	1	12.453	10.387
widerspenstigen	28	21	1	1	0	1	12.453	10.387
verwöhnten	30	23	1	1	0	1	12.267	10.256
geborenen	31	26	1	1	0	1	12.017	10.079
auserwählten	32	29	1	1	0	1	11.795	9.922
