Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
des	1	38675	144	144	0	34	1037.530	6.307
eines	2	8620	47	47	0	33	359.859	6.857
ihres	3	2909	37	37	0	18	344.872	8.079
dieses	4	5544	23	23	0	10	162.080	6.463
meines	5	1958	13	13	0	8	103.414	7.141
seines	6	3472	14	14	0	12	97.530	6.422
genderneutral	7	248	5	5	0	1	50.797	8.744
einzigen	8	814	6	6	0	5	48.868	7.292
verzogenen	9	11	3	3	0	3	46.922	12.501
verwöhnten	10	23	3	3	0	3	42.002	11.437
armen	11	1534	6	6	0	4	41.310	6.378
deines	12	315	4	4	0	3	36.909	8.077
unglücklichen	13	414	3	3	0	3	24.308	7.267
toten	14	483	3	3	0	3	23.387	7.045
holden	15	55	2	2	0	2	22.691	9.595
jenes	16	601	3	3	0	1	22.083	6.730
unschuldigen	17	102	2	2	0	2	20.191	8.704
lieblichen	18	107	2	2	0	2	19.998	8.634
lockenlosen	19	1	1	1	0	1	19.932	14.376
ungeratenen	20	2	1	1	0	1	17.159	13.376
verprügelten	20	2	1	1	0	1	17.159	13.376
hingeopferten	20	2	1	1	0	1	17.159	13.376
achtungswerten	23	3	1	1	0	1	16.113	12.791
verscheidenden	23	3	1	1	0	1	16.113	12.791
und	25	238473	1	1	0	1	15.881	-3.488
neugebornen	26	4	1	1	0	1	15.434	12.376
fühlenden	27	6	1	1	0	1	14.526	11.791
schuldbewußten	27	6	1	1	0	1	14.526	11.791
vierzehnjährigen	29	7	1	1	0	1	14.191	11.569
unartigen	29	7	1	1	0	1	14.191	11.569
kranken	31	488	2	2	0	2	13.934	6.445
verstoßenen	32	9	1	1	0	1	13.654	11.206
vierzigjährigen	32	9	1	1	0	1	13.654	11.206
neugeborenen	34	10	1	1	0	1	13.431	11.054
ertrunkenen	34	10	1	1	0	1	13.431	11.054
erwartenden	36	12	1	1	0	1	13.049	10.791
geliebten	37	806	2	2	0	2	11.954	5.721
anvertrauten	38	23	1	1	0	1	11.707	9.852
geborenen	39	26	1	1	0	1	11.457	9.675
