Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
mein	1	13279	45	45	0	19	367.812	7.144
frau	2	12963	27	27	0	1	191.708	6.442
ella	3	28	7	7	0	1	117.720	13.349
siegfried	4	36	3	3	0	1	43.233	11.764
todten	5	93	3	3	0	1	37.382	10.395
pascholl	6	5	2	2	0	1	35.848	14.027
vaters	7	732	3	3	0	3	24.947	7.419
besonderer	8	142	2	2	0	2	21.563	9.200
ungezogene	9	1	1	1	0	1	21.284	15.349
armer	10	256	2	2	0	2	19.198	8.349
ihren	11	8982	4	4	0	3	15.889	4.217
verwöhnter	12	6	1	1	0	1	15.877	12.764
kleinen	13	3520	3	3	0	3	15.646	5.153
geliebtester	14	7	1	1	0	1	15.543	12.542
verhätschelte	14	7	1	1	0	1	15.543	12.542
dessen	16	3691	3	3	0	3	15.370	5.085
begünstigter	17	8	1	1	0	1	15.256	12.349
erklärter	18	9	1	1	0	1	15.005	12.179
imaginäre	19	10	1	1	0	1	14.783	12.027
dschehanaras	20	11	1	1	0	1	14.582	11.890
eingeweihte	21	14	1	1	0	1	14.080	11.542
gefeierte	21	14	1	1	0	1	14.080	11.542
kaiserlicher	21	14	1	1	0	1	14.080	11.542
armen	24	1534	2	2	0	2	12.084	5.766
getreue	25	38	1	1	0	1	12.037	10.101
unser	26	1783	2	2	0	1	11.494	5.549
