Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
kein	1	5658	243	243	0	65	1910.402	7.005
ein	2	66554	393	393	0	66	1571.779	4.142
junger	3	885	101	101	0	36	992.584	8.415
der	4	189877	381	381	0	61	771.194	2.585
junge	5	3259	95	95	0	28	667.167	6.446
genderneutral	6	248	57	57	0	1	646.338	9.425
dieser	7	11658	97	97	0	25	441.389	4.637
anständiger	8	80	27	27	0	13	330.188	9.979
jeder	9	2889	51	51	0	24	306.324	5.722
guter	10	831	37	37	0	16	290.687	7.057
gemeiner	11	66	16	16	0	3	183.126	9.502
prächtiger	12	77	16	16	0	7	177.546	9.280
vernünftiger	13	51	14	14	0	11	164.246	9.681
anderer	14	884	21	21	0	15	138.302	6.151
gebildeter	15	46	11	11	0	8	125.534	9.482
solcher	16	880	19	19	0	11	121.497	6.013
und	17	238473	7	7	0	7	113.449	-3.510
einzige	18	1366	20	20	0	14	112.513	5.453
die	19	211543	6	6	0	2	101.468	-3.559
merkwürdiger	20	75	10	10	0	5	101.246	8.639
netter	21	48	9	9	0	4	97.788	9.131
schlechter	22	218	11	11	0	9	89.115	7.238
sie	23	153582	2	2	0	2	86.656	-4.682
besserer	24	53	8	8	0	7	83.127	8.818
sonderbarer	25	69	8	8	0	5	78.608	8.438
armer	26	256	10	10	0	7	75.811	6.868
ich	27	124269	1	1	0	1	74.279	-5.377
er	28	113688	1	1	0	1	67.277	-5.248
freier	29	169	8	8	0	7	63.762	7.145
erwachsener	30	16	5	5	0	5	60.175	9.868
dummer	31	53	6	6	0	6	58.649	8.403
zu	32	117655	3	3	0	3	57.745	-3.713
braver	33	58	6	6	0	4	57.507	8.273
liebenswürdiger	34	71	6	6	0	5	54.967	7.982
arme	35	2382	14	14	0	9	53.998	4.136
gefährlicher	36	79	6	6	0	6	53.637	7.828
den	37	92383	1	1	0	1	53.262	-4.949
abstrakter	38	8	4	4	0	1	52.945	10.546
glücklicher	39	204	7	7	0	6	51.228	6.681
glücklichste	40	37	5	5	0	5	50.757	8.659
herzloser	41	10	4	4	0	2	50.576	10.224
fremder	42	237	7	7	0	5	49.117	6.465
verständiger	43	45	5	5	0	3	48.674	8.376
ungewöhnlicher	44	47	5	5	0	4	48.215	8.314
denkender	45	13	4	4	0	2	47.990	9.846
gutherziger	46	15	4	4	0	2	46.642	9.639
das	47	89630	2	2	0	2	45.411	-3.905
ehrenhafter	48	18	4	4	0	2	44.972	9.376
ordentlicher	49	20	4	4	0	4	44.027	9.224
begabter	49	20	4	4	0	3	44.027	9.224
rechtschaffener	51	22	4	4	0	3	43.182	9.087
ehrlicher	52	93	5	5	0	5	41.143	7.329
böser	53	96	5	5	0	4	40.819	7.283
wunderlicher	54	29	4	4	0	4	40.780	8.688
vortrefflicher	55	30	4	4	0	2	40.489	8.639
sterblicher	56	31	4	4	0	3	40.209	8.592
verkommener	57	6	3	3	0	3	39.707	10.546
unglücklicher	58	117	5	5	0	3	38.807	6.998
gefühlvoller	59	7	3	3	0	2	38.465	10.324
einziger	60	288	6	6	0	5	37.913	5.961
komischer	61	43	4	4	0	3	37.443	8.120
einzelner	62	52	4	4	0	3	35.861	7.846
gewöhnlicher	63	56	4	4	0	4	35.247	7.739
genialer	64	11	3	3	0	3	35.138	9.672
origineller	65	12	3	3	0	1	34.533	9.546
garstiger	66	13	3	3	0	3	33.985	9.431
lebender	67	14	3	3	0	3	33.482	9.324
kluger	68	72	4	4	0	4	33.181	7.376
zuverlässiger	69	16	3	3	0	3	32.589	9.131
hochherziger	70	2	2	2	0	2	32.015	11.546
antiquirter	70	2	2	2	0	2	32.015	11.546
grässlicher	70	2	2	2	0	2	32.015	11.546
wundervoller	73	18	3	3	0	1	31.813	8.961
nicht	74	80222	4	4	0	3	30.624	-2.745
gescheiter	75	22	3	3	0	3	30.510	8.672
mit	76	72494	3	3	0	3	30.117	-3.014
roher	77	24	3	3	0	3	29.952	8.546
einzelne	78	330	5	5	0	3	28.439	5.502
edler	79	132	4	4	0	2	28.268	6.502
schutzloser	80	3	2	2	0	1	28.196	10.961
kultivierter	80	3	2	2	0	2	28.196	10.961
als	82	45374	40	40	0	24	28.147	1.399
kranker	83	32	3	3	0	1	28.130	8.131
nervöser	84	33	3	3	0	2	27.937	8.087
auf	85	59180	2	2	0	1	26.531	-3.306
sympathischste	86	4	2	2	0	2	26.471	10.546
talentvoller	87	5	2	2	0	2	25.287	10.224
einheitlicher	87	5	2	2	0	2	25.287	10.224
dem	89	56253	2	2	0	2	24.763	-3.233
gottloser	90	6	2	2	0	1	24.379	9.961
studierter	90	6	2	2	0	2	24.379	9.961
lebendiger	92	59	3	3	0	3	24.342	7.249
schöner	93	502	5	5	0	5	24.333	4.897
verdorbener	94	7	2	2	0	2	23.642	9.739
lasterhafter	94	7	2	2	0	2	23.642	9.739
wie	96	45869	1	1	0	1	23.294	-3.939
ganze	97	3950	10	10	0	5	23.177	2.921
fischchen	98	8	2	2	0	1	23.021	9.546
gewissenloser	98	8	2	2	0	2	23.021	9.546
wirklicher	100	80	3	3	0	3	22.488	6.809
