Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
jungen	1	3320	157	157	0	34	1053.937	6.210
den	2	92383	368	368	0	72	749.473	2.641
einen	3	25603	207	207	0	58	678.174	3.662
eines	4	8620	144	144	0	49	669.054	4.709
die	5	211543	513	513	0	73	643.094	1.925
keinem	6	548	49	49	0	23	391.889	7.129
alle	7	11316	103	103	0	37	358.362	3.833
einem	8	20014	127	127	0	41	357.974	3.312
des	9	38675	140	140	0	49	258.090	2.503
aller	10	2637	50	50	0	17	243.778	4.892
allen	11	3868	55	55	0	23	237.509	4.476
diesen	12	5588	58	58	0	25	215.665	4.022
keinen	13	3015	47	47	0	30	211.236	4.609
andern	14	4046	48	48	0	17	190.568	4.215
sie	15	153582	3	3	0	3	171.132	-5.031
diese	16	13397	68	68	0	33	163.960	2.990
ich	17	124269	1	1	0	1	149.272	-6.311
viele	18	2156	30	30	0	18	128.166	4.445
andere	19	4176	37	37	0	22	126.453	3.794
zwei	20	6632	43	43	0	27	122.300	3.343
er	21	113688	3	3	0	2	121.120	-4.597
anderen	22	3252	32	32	0	17	115.626	3.945
in	23	114165	4	4	0	3	115.604	-4.188
einzelnen	24	458	18	18	0	7	113.642	5.943
von	25	65870	127	127	0	48	112.289	1.594
zu	26	117655	6	6	0	5	108.960	-3.647
genderneutral	27	248	15	15	0	1	107.785	6.565
guten	28	1819	25	25	0	16	106.189	4.427
meisten	29	731	19	19	0	14	104.303	5.347
das	30	89630	2	2	0	2	97.723	-4.839
fünftausend	31	84	11	11	0	1	96.732	7.680
und	32	238473	51	51	0	23	93.145	-1.579
fremden	33	867	18	18	0	15	90.848	5.022
dieses	34	5544	33	33	0	16	88.722	3.220
diesem	35	6438	35	35	0	17	88.455	3.089
solche	36	2135	23	23	0	11	87.001	4.076
einzigen	37	814	17	17	0	12	85.995	5.031
vernünftigen	38	57	9	9	0	8	82.762	7.949
der	39	189877	232	232	0	59	82.050	0.936
anständigen	40	101	10	10	0	4	82.029	7.276
keines	41	189	11	11	0	9	78.170	6.510
solchen	42	1784	20	20	0	12	77.153	4.133
armen	43	1534	19	19	0	13	76.897	4.277
ein	44	66554	1	1	0	1	75.890	-5.410
menge	45	1118	17	17	0	15	75.495	4.573
nicht	46	80222	5	5	0	5	69.662	-3.357
war	47	59294	1	1	0	1	66.771	-5.243
voller	48	821	14	14	0	10	65.273	4.739
schlechten	49	254	10	10	0	10	63.154	5.946
gewöhnlichen	50	375	11	11	0	9	63.006	5.521
sich	51	81127	7	7	0	5	62.036	-2.888
denkenden	52	23	6	6	0	5	61.898	8.674
genialen	53	28	6	6	0	4	59.210	8.390
beiden	54	4421	23	23	0	15	56.298	3.026
auf	55	59180	3	3	0	3	54.660	-3.655
praktischen	56	45	6	6	0	1	52.988	7.706
vielen	57	1124	13	13	0	12	50.903	4.178
ist	58	46384	1	1	0	1	50.658	-4.889
junge	59	3259	19	19	0	14	50.334	3.190
es	60	70024	7	7	0	6	49.792	-2.676
zweier	61	135	7	7	0	7	48.095	6.343
wenige	62	560	10	10	0	9	47.513	4.805
gesunden	63	143	7	7	0	6	47.278	6.260
geliebten	64	806	11	11	0	7	46.548	4.417
aber	65	41624	1	1	0	1	44.759	-4.733
jeden	66	1784	14	14	0	11	44.640	3.619
grundehrlichen	67	3	3	3	0	1	44.138	10.612
andre	68	472	9	9	0	5	43.911	4.900
bösen	69	317	8	8	0	6	43.435	5.304
jedem	70	1326	12	12	0	11	41.435	3.825
tausend	71	1039	11	11	0	9	41.224	4.051
vieler	72	260	7	7	0	6	38.899	5.397
modernen	73	141	6	6	0	6	38.826	6.058
anderer	74	884	10	10	0	7	38.730	4.146
begabten	75	21	4	4	0	4	38.422	8.220
ehrenhaften	75	21	4	4	0	4	38.422	8.220
millionen	77	277	7	7	0	7	38.023	5.306
gebildeten	78	81	5	5	0	5	36.127	6.595
ordentlichen	79	32	4	4	0	3	34.773	7.612
mich	80	33487	1	1	0	1	34.749	-4.419
unter	81	9159	25	25	0	16	34.431	2.095
anständige	82	102	5	5	0	5	33.782	6.262
dutzend	83	217	6	6	0	4	33.658	5.436
gefühllosen	84	8	3	3	0	2	33.559	9.197
kultivierten	85	10	3	3	0	3	31.929	8.875
unwürdigen	86	49	4	4	0	3	31.200	6.998
verständigen	87	137	5	5	0	5	30.812	5.836
freundliche	88	144	5	5	0	3	30.314	5.764
gute	89	1822	11	11	0	7	29.816	3.241
prächtigen	90	161	5	5	0	5	29.201	5.603
mittelmäßigen	91	15	3	3	0	3	29.141	8.290
freie	92	330	6	6	0	4	28.714	4.831
dem	93	56253	72	72	0	29	28.228	1.003
gewöhnliche	94	178	5	5	0	3	28.204	5.459
verdorbenen	95	18	3	3	0	3	27.937	8.027
drei	96	4142	15	15	0	11	27.411	2.503
oberflächlichen	97	20	3	3	0	3	27.251	7.875
daß	98	48326	7	7	0	6	27.088	-2.141
bedeutenden	99	83	4	4	0	4	26.887	6.237
beliebigen	100	24	3	3	0	2	26.079	7.612
