Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
meine	1	12780	65	65	0	22	341.489	5.149
eigener	2	254	28	28	0	16	320.084	9.587
genderneutral	3	248	23	23	0	1	254.455	9.338
eigene	4	821	28	28	0	14	252.303	7.894
seine	5	18823	50	50	0	22	199.437	4.212
meiner	6	5429	32	32	0	15	176.447	5.362
einer	7	18044	45	45	0	24	173.932	4.121
eine	8	42698	58	58	0	30	159.553	3.244
ihre	9	17699	42	42	0	21	158.294	4.049
seiner	10	12098	33	33	0	24	132.842	4.250
die	11	211543	106	106	0	40	119.231	1.806
herr	12	8541	27	27	0	1	116.155	4.463
eigenen	13	2071	16	16	0	10	96.514	5.752
dieselbe	14	698	11	11	0	9	81.873	6.781
ihrer	15	9319	20	20	0	16	71.261	3.904
eigner	16	47	6	6	0	4	70.346	9.799
herrn	17	3395	14	14	0	1	67.245	4.846
junge	18	3259	13	13	0	7	61.596	4.798
und	19	238473	1	1	0	1	60.289	-5.095
betreffende	20	54	5	5	0	3	55.221	9.335
diese	21	13397	19	19	0	15	53.210	3.306
höchsteigener	22	3	3	3	0	3	53.109	12.768
kleine	23	3128	11	11	0	10	49.429	4.617
schamlose	24	30	4	4	0	1	47.263	9.861
einzige	25	1366	8	8	0	8	43.850	5.352
geeignetste	26	12	3	3	0	2	39.616	10.768
dieser	27	11658	15	15	0	9	39.349	3.166
jungen	28	3320	9	9	0	5	35.952	4.241
dritte	29	390	5	5	0	5	35.131	6.483
dumme	30	150	4	4	0	4	33.970	7.539
erste	31	1828	7	7	0	6	32.581	4.739
liebreizende	32	4	2	2	0	2	29.860	11.768
gümüschtekîns	32	4	2	2	0	1	29.860	11.768
handelnde	34	5	2	2	0	2	28.675	11.446
gleichgiltigen	35	8	2	2	0	2	26.409	10.768
veranlagte	35	8	2	2	0	2	26.409	10.768
ganzen	37	3095	7	7	0	5	25.559	3.980
moralische	38	112	3	3	0	3	25.502	7.546
vierte	39	134	3	3	0	3	24.419	7.287
dritten	40	535	4	4	0	4	23.830	5.705
geheiligte	41	17	2	2	0	2	23.094	9.681
ältliche	42	19	2	2	0	1	22.622	9.520
fragende	43	21	2	2	0	2	22.201	9.376
gewichtige	43	21	2	2	0	1	22.201	9.376
leichtsinnige	45	22	2	2	0	2	22.006	9.309
überirdische	45	22	2	2	0	1	22.006	9.309
gewisse	47	701	4	4	0	2	21.708	5.315
famose	48	28	2	2	0	2	21.002	8.961
geliebten	49	806	4	4	0	3	20.619	5.114
einzigen	50	814	4	4	0	3	20.542	5.099
geeignete	51	34	2	2	0	2	20.201	8.681
überflüssige	52	40	2	2	0	1	19.534	8.446
hübsche	53	311	3	3	0	3	19.379	6.072
betreffenden	54	62	2	2	0	2	17.751	7.814
liebwerten	55	1	1	1	0	1	17.701	12.768
orphei	55	1	1	1	0	1	17.701	12.768
übelbeleumundete	55	1	1	1	0	1	17.701	12.768
kunstgewandte	55	1	1	1	0	1	17.701	12.768
höckerige	55	1	1	1	0	1	17.701	12.768
halbmythische	55	1	1	1	0	1	17.701	12.768
possirliche	55	1	1	1	0	1	17.701	12.768
buckelige	55	1	1	1	0	1	17.701	12.768
eminente	55	1	1	1	0	1	17.701	12.768
hypothetische	55	1	1	1	0	1	17.701	12.768
vorurteilsfreie	55	1	1	1	0	1	17.701	12.768
lustrasende	55	1	1	1	0	1	17.701	12.768
holende	55	1	1	1	0	1	17.701	12.768
umschreibbare	55	1	1	1	0	1	17.701	12.768
arme	69	2382	5	5	0	5	17.551	3.872
ganze	70	3950	6	6	0	6	17.492	3.406
andere	71	4176	6	6	0	6	16.888	3.325
tolle	72	99	2	2	0	2	15.865	7.139
erhabene	73	106	2	2	0	2	15.591	7.040
zweite	74	638	3	3	0	3	15.147	5.036
fremde	75	662	3	3	0	3	14.931	4.982
glückseligste	76	2	1	1	0	1	14.929	11.768
unverdächtigen	76	2	1	1	0	1	14.929	11.768
nahestehende	76	2	1	1	0	1	14.929	11.768
kostümierten	76	2	1	1	0	1	14.929	11.768
verabscheuenswerte	76	2	1	1	0	1	14.929	11.768
prinzliche	76	2	1	1	0	1	14.929	11.768
hirnlose	76	2	1	1	0	1	14.929	11.768
der	83	189877	49	49	0	25	14.482	0.848
