Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
der	1	192947	560	560	0	19	2433.798	4.164
herr	2	8916	206	206	0	18	1673.269	7.157
dem	3	57412	94	94	0	12	271.357	3.338
lieber	4	2663	30	30	0	8	196.417	6.121
den	5	93109	89	89	0	13	172.578	2.562
geniale	6	35	11	11	0	1	148.554	10.923
herrn	7	3544	24	24	0	8	132.937	5.386
und	8	243043	2	2	0	2	63.872	-4.298
die	9	214928	1	1	0	1	61.387	-5.121
junge	10	3453	13	13	0	1	57.091	4.539
korpskommandanten	11	4	3	3	0	1	47.880	12.178
gejesuitete	12	2	2	2	0	1	34.917	12.593
sie	13	156573	3	3	0	3	32.283	-3.079
genialen	14	33	3	3	0	1	32.282	9.133
zum	15	13526	15	15	0	7	32.245	2.776
in	16	116231	1	1	0	1	30.013	-4.234
steinreicher	17	6	2	2	0	1	27.280	11.008
korpskommandant	17	6	2	2	0	1	27.280	11.008
ich	19	124076	2	2	0	2	27.202	-3.328
das	20	91858	1	1	0	1	22.494	-3.894
zu	21	119245	3	3	0	3	21.648	-2.686
jungen	22	3493	6	6	0	3	17.504	3.407
alte	23	3498	6	6	0	2	17.488	3.405
gejesuiteten	24	1	1	1	0	1	17.458	12.593
hinwandelnden	24	1	1	1	0	1	17.458	12.593
maulevrier	24	1	1	1	0	1	17.458	12.593
aspirant	24	1	1	1	0	1	17.458	12.593
vielbekannte	24	1	1	1	0	1	17.458	12.593
portepeefähnrich	24	1	1	1	0	1	17.458	12.593
pommersche	24	1	1	1	0	1	17.458	12.593
intoniert	24	1	1	1	0	1	17.458	12.593
kurische	24	1	1	1	0	1	17.458	12.593
le	33	1142	4	4	0	3	16.988	4.435
adjutanten	34	84	2	2	0	1	16.041	7.200
sich	35	82849	2	2	0	1	15.315	-2.746
gesandte	36	101	2	2	0	1	15.301	6.934
signor	36	101	2	2	0	1	15.301	6.934
norddeutscher	38	2	1	1	0	1	14.686	11.593
intressant	38	2	1	1	0	1	14.686	11.593
großvetter	38	2	1	1	0	1	14.686	11.593
bester	41	137	2	2	0	2	14.083	6.495
