Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
mein	1	13206	174	174	0	42	1093.287	5.872
seinem	2	8428	112	112	0	23	701.724	5.885
ihrem	3	6604	81	81	0	22	493.261	5.769
seinen	4	10132	90	90	0	24	491.321	5.303
ihr	5	31781	114	114	0	25	424.487	3.995
meinem	6	3938	61	61	0	18	399.030	6.106
sein	7	24603	98	98	0	22	383.532	4.146
dein	8	1947	50	50	0	17	377.283	6.835
ihren	9	9232	69	69	0	26	352.606	5.054
meinen	10	5102	43	43	0	15	229.236	5.228
älterer	11	58	17	17	0	13	215.600	10.348
ältere	12	198	19	19	0	8	194.288	8.737
große	13	3427	31	31	0	1	169.360	5.330
älteren	14	214	17	17	0	12	167.112	8.464
jüngeren	15	176	16	16	0	11	161.772	8.659
lieber	16	2663	25	25	0	7	138.321	5.383
großen	17	4519	25	25	0	2	112.607	4.620
jüngere	18	128	11	11	0	4	109.896	8.578
deinem	19	842	13	13	0	7	84.617	6.101
kisch	20	93	7	7	0	1	67.989	8.386
ottiliens	21	12	5	5	0	1	67.714	10.855
ältester	22	20	5	5	0	5	61.524	10.118
einen	23	26126	33	33	0	21	60.076	2.489
leiblichen	24	28	5	5	0	3	57.745	9.633
dem	25	57412	46	46	0	21	51.330	1.833
leiblicher	26	13	4	4	0	4	51.162	10.418
ich	27	124076	1	1	0	1	47.566	-4.803
zu	28	119245	1	1	0	1	45.440	-4.745
unser	29	1855	10	10	0	8	44.468	4.583
er	30	116714	1	1	0	1	44.328	-4.714
herr	31	8916	17	17	0	11	42.830	3.084
der	32	192947	92	92	0	34	42.402	1.084
deinen	33	1015	8	8	0	3	41.454	5.131
warmer	34	53	4	4	0	2	38.867	8.390
geliebten	35	822	7	7	0	6	37.327	5.243
und	36	243043	17	17	0	12	36.424	-1.685
jüngster	37	15	3	3	0	3	35.397	9.796
jüngerer	38	20	3	3	0	3	33.503	9.381
jüngern	39	27	3	3	0	2	31.577	8.948
sich	40	82849	1	1	0	1	29.596	-4.220
nicht	41	82498	1	1	0	1	29.445	-4.214
den	42	93109	50	50	0	22	29.390	1.255
teuren	43	67	3	3	0	2	25.932	7.637
geistlichen	44	300	4	4	0	2	24.853	5.889
treuer	45	99	3	3	0	3	23.559	7.074
ach	46	2381	7	7	0	1	23.097	3.708
von	47	66878	1	1	0	1	22.775	-3.911
jüngsten	48	115	3	3	0	3	22.655	6.858
erkrankten	49	13	2	2	0	1	22.444	9.418
ältesten	50	128	3	3	0	3	22.010	6.703
versichert	51	186	3	3	0	1	19.771	6.164
ältern	52	29	2	2	0	2	19.058	8.260
herrn	53	3544	7	7	0	6	18.043	3.134
getreuer	54	44	2	2	0	2	17.348	7.659
kleopatras	54	44	2	2	0	1	17.348	7.659
armer	56	292	3	3	0	3	17.095	5.513
geistlicher	57	47	2	2	0	1	17.080	7.564
dessen	58	3849	7	7	0	6	17.023	3.015
selige	59	48	2	2	0	1	16.994	7.533
mit	60	73621	3	3	0	2	16.973	-2.465
ältrer	61	1	1	1	0	1	16.800	12.118
hochwürdigste	61	1	1	1	0	1	16.800	12.118
hochmütigverbindlichen	61	1	1	1	0	1	16.800	12.118
verstorbenem	61	1	1	1	0	1	16.800	12.118
angewachsener	61	1	1	1	0	1	16.800	12.118
auf	66	60442	2	2	0	2	15.600	-2.765
jüngste	67	72	2	2	0	2	15.355	6.948
herzogs	68	76	2	2	0	1	15.137	6.870
unglücklichen	69	433	3	3	0	3	14.785	4.945
einem	70	20626	15	15	0	12	14.548	1.693
