Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
mein	1	13206	635	635	0	56	5166.624	7.094
lieber	2	2663	218	218	0	47	1977.098	7.862
einen	3	26126	102	102	0	44	308.731	3.472
ein	4	67513	96	96	0	51	125.596	2.015
sein	5	24603	80	80	0	40	215.124	3.208
seinen	6	10132	76	76	0	31	322.569	4.414
den	7	93109	69	69	0	23	30.798	1.075
ihr	8	31781	62	62	0	25	111.752	2.471
unser	9	1855	54	54	0	18	372.752	6.370
meinen	10	5102	49	49	0	25	230.877	4.771
junger	10	907	49	49	0	27	399.469	7.263
alter	12	1241	44	44	0	22	321.021	6.655
ihren	13	9232	41	41	0	16	133.062	3.658
guter	14	870	39	39	0	28	302.984	6.993
seinem	15	8428	37	37	0	19	119.247	3.641
und	16	243043	36	36	0	22	37.630	-1.248
alten	17	3555	35	35	0	18	166.434	4.806
meinem	18	3938	27	27	0	19	109.534	4.284
guten	19	1908	24	24	0	16	125.496	5.160
dein	20	1947	20	20	0	11	96.654	4.868
bester	21	137	19	19	0	12	192.093	8.623
kein	22	5864	16	16	0	15	37.774	2.955
besten	23	1209	15	15	0	12	77.986	5.140
treuer	24	99	13	13	0	10	129.882	8.544
keinen	24	3137	13	13	0	9	40.425	3.558
liebster	26	107	12	12	0	7	115.862	8.316
ihrem	26	6604	12	12	0	10	20.097	2.369
jungen	26	3493	12	12	0	9	33.221	3.287
deinen	29	1015	11	11	0	7	54.273	4.945
gut	29	6012	11	11	0	8	18.543	2.379
armer	31	292	10	10	0	9	72.142	6.605
theuerer	32	29	9	9	0	1	107.260	9.785
lieben	32	1467	9	9	0	6	34.561	4.124
großer	32	1370	9	9	0	8	35.728	4.223
teurer	32	98	9	9	0	6	83.106	8.028
kleiner	32	651	9	9	0	5	48.682	5.296
verehrter	32	54	9	9	0	6	94.541	8.888
einzigen	38	843	8	8	0	6	37.401	4.753
neuen	38	1803	8	8	0	7	25.871	3.657
aufrichtiger	40	45	7	7	0	5	72.476	8.788
gute	40	1882	7	7	0	5	20.374	3.402
unsern	40	573	7	7	0	5	36.163	5.118
getreuer	43	44	6	6	0	3	60.416	8.598
geliebter	43	157	6	6	0	5	44.605	6.763
einziger	43	297	6	6	0	6	36.943	5.843
bleicher	43	49	6	6	0	1	59.037	8.443
werter	47	48	5	5	0	4	47.484	8.210
theuerster	47	11	5	5	0	3	64.378	10.335
ich	47	124076	5	5	0	5	56.186	-3.126
deinem	47	842	5	5	0	2	18.886	4.077
mirkos	47	17	5	5	0	1	58.943	9.707
wahrer	52	113	4	4	0	4	29.115	6.653
vertrauter	52	55	4	4	0	4	34.990	7.691
theurer	52	11	4	4	0	3	49.208	10.013
intimer	52	11	4	4	0	4	49.208	10.013
die	52	214928	4	4	0	1	121.588	-4.241
neuer	52	344	4	4	0	3	20.275	5.046
edler	52	142	4	4	0	2	27.279	6.323
unserm	52	396	4	4	0	3	19.179	4.843
sich	52	82849	4	4	0	4	34.643	-2.865
treuen	52	155	4	4	0	3	26.577	6.197
väterlicher	52	18	4	4	0	3	44.565	9.303
ergebener	52	15	4	4	0	2	46.234	9.566
auf	52	60442	4	4	0	4	21.276	-2.411
besonderer	65	145	3	3	0	3	18.611	5.878
treuester	65	5	3	3	0	3	40.988	10.736
ehrwürdigen	65	83	3	3	0	1	21.962	6.683
süßer	65	71	3	3	0	3	22.909	6.908
sterbenden	65	147	3	3	0	3	18.529	5.858
frühere	65	162	3	3	0	2	17.951	5.718
verehrtester	65	22	3	3	0	2	30.205	8.598
sie	65	156573	3	3	0	2	87.701	-4.199
gemeinsamer	65	24	3	3	0	2	29.647	8.473
ältere	65	198	3	3	0	2	16.762	5.428
englischer	65	92	3	3	0	2	21.339	6.534
intimen	65	52	3	3	0	1	24.812	7.357
gueti	77	2	2	2	0	1	31.811	11.473
edelherziger	77	2	2	2	0	2	31.811	11.473
gemeinschaftlicher	77	7	2	2	0	2	23.438	9.665
rathen	77	40	2	2	0	2	15.956	7.151
künftiger	77	34	2	2	0	1	16.620	7.385
dankbarer	77	12	2	2	0	2	21.004	8.888
vertrauteste	77	10	2	2	0	1	21.808	9.151
ältester	77	20	2	2	0	2	18.820	8.151
naher	77	21	2	2	0	2	18.615	8.080
ausgesprochener	77	6	2	2	0	2	24.175	9.888
wie	77	46768	2	2	0	2	20.559	-3.040
getreuster	88	1	1	1	0	1	15.905	11.473
zu	88	119245	1	1	0	1	75.048	-5.391
ist	88	47932	1	1	0	1	26.173	-4.076
zartfühlendste	88	1	1	1	0	1	15.905	11.473
an	88	44294	1	1	0	1	23.757	-3.962
er	88	116714	1	1	0	1	73.284	-5.360
eifrigern	88	1	1	1	0	1	15.905	11.473
sapperments	88	1	1	1	0	1	15.905	11.473
von	88	66878	1	1	0	1	38.932	-4.556
banabak	88	1	1	1	0	1	15.905	11.473
das	88	91858	1	1	0	1	56.047	-5.014
aber	88	42540	1	1	0	1	22.597	-3.904
poussirt	88	1	1	1	0	1	15.905	11.473
glücklosen	88	1	1	1	0	1	15.905	11.473
mitleidsvoller	88	1	1	1	0	1	15.905	11.473
hinaufzustimmen	88	1	1	1	0	1	15.905	11.473
es	88	72406	1	1	0	1	42.696	-4.671
mich	88	33107	1	1	0	1	16.430	-3.542
epigone	88	1	1	1	0	1	15.905	11.473
rechtsbeflissener	88	1	1	1	0	1	15.905	11.473
nicht	88	82498	1	1	0	1	49.604	-4.859
eana	88	1	1	1	0	1	15.905	11.473
hatte	88	35127	1	1	0	1	17.739	-3.628
diensteifrige	88	1	1	1	0	1	15.905	11.473
war	88	60927	1	1	0	1	34.898	-4.422
