Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
der	1	192947	1575	1575	0	21	8566.162	4.734
hochgeehrter	2	36	19	19	0	1	257.762	10.749
durchlauchtigster	3	12	11	11	0	1	171.135	11.545
alte	4	3498	30	30	0	6	142.570	4.805
die	5	214928	4	4	0	2	103.028	-4.043
lieber	6	2663	18	18	0	1	77.200	4.462
er	7	116714	1	1	0	1	62.949	-5.162
zu	8	119245	2	2	0	2	58.026	-4.193
und	9	243043	20	20	0	3	57.711	-1.898
junge	10	3453	16	16	0	4	57.157	3.917
ich	11	124076	3	3	0	2	55.385	-3.665
großmächtiger	12	9	4	4	0	1	52.360	10.501
hochverehrter	13	11	4	4	0	1	50.306	10.211
den	14	93109	1	1	0	1	48.733	-4.836
edelster	15	8	3	3	0	1	37.959	10.256
das	16	91858	3	3	0	2	37.178	-3.231
mit	17	73621	1	1	0	1	37.126	-4.497
es	18	72406	1	1	0	1	36.407	-4.473
mein	19	13206	21	21	0	4	35.355	2.374
sich	20	82849	3	3	0	2	32.216	-3.083
auf	21	60442	1	1	0	1	29.370	-4.213
offenherzigster	22	3	2	2	0	1	28.541	11.086
wiedersehen	23	365	5	5	0	1	28.290	5.481
dem	24	57412	1	1	0	1	27.601	-4.138
regiments	25	107	3	3	0	1	21.244	6.514
war	26	60927	3	3	0	3	20.505	-2.639
so	27	51317	2	2	0	1	19.310	-2.976
des	28	39223	1	1	0	1	17.140	-3.589
übel	29	599	4	4	0	2	17.042	4.444
oberbefehlshaber	30	37	2	2	0	1	16.820	7.461
hinhalte	31	1	1	1	0	1	16.179	11.671
erfocht	31	1	1	1	0	1	16.179	11.671
petrowich	31	1	1	1	0	1	16.179	11.671
carawanenweg	31	1	1	1	0	1	16.179	11.671
gottesnarr	31	1	1	1	0	1	16.179	11.671
angeschwärzt	31	1	1	1	0	1	16.179	11.671
besterzogener	31	1	1	1	0	1	16.179	11.671
poltawski	31	1	1	1	0	1	16.179	11.671
liebesblinde	31	1	1	1	0	1	16.179	11.671
britannischer	31	1	1	1	0	1	16.179	11.671
weltüberhobene	31	1	1	1	0	1	16.179	11.671
jetzige	42	57	2	2	0	2	15.065	6.838
