Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
dem	1	57412	319	319	0	18	1758.399	5.181
den	2	93109	352	352	0	20	1686.166	4.626
des	3	39223	280	280	0	23	1671.461	5.543
zum	4	13526	51	51	0	7	231.062	4.622
und	5	243043	2	2	0	2	59.764	-4.218
siebenbürgischen	6	3	3	3	0	1	52.713	12.673
jungen	7	3493	12	12	0	4	51.870	4.488
vom	8	5993	14	14	0	6	50.302	3.931
thessalischen	9	20	4	4	0	1	50.276	10.351
eines	10	8903	13	13	0	11	35.484	3.253
russischen	11	469	5	5	0	3	32.646	6.122
der	12	192947	6	6	0	3	28.418	-2.300
beim	13	2830	7	7	0	3	25.867	4.014
alten	14	3555	7	7	0	3	22.891	3.685
morgenländischen	15	17	2	2	0	2	22.830	9.586
regierenden	16	19	2	2	0	2	22.359	9.425
kriegsminister	17	44	2	2	0	1	18.881	8.214
eintretenden	18	57	2	2	0	1	17.829	7.840
vortrefflichen	19	58	2	2	0	1	17.758	7.815
höchstgedachte	20	1	1	1	0	1	17.569	12.673
hochlöblichen	20	1	1	1	0	1	17.569	12.673
premierlieutenants	20	1	1	1	0	1	17.569	12.673
heruntergemachten	20	1	1	1	0	1	17.569	12.673
unschlüssigen	20	1	1	1	0	1	17.569	12.673
depossedierten	20	1	1	1	0	1	17.569	12.673
geheilter	20	1	1	1	0	1	17.569	12.673
mit	27	73621	1	1	0	1	15.788	-3.495
flüchtigen	28	112	2	2	0	1	15.108	6.866
deutschen	29	606	3	3	0	1	15.062	5.015
ehemaligen	30	120	2	2	0	2	14.833	6.766
unbesieglichen	31	2	1	1	0	1	14.797	11.673
anblickenden	31	2	1	1	0	1	14.797	11.673
gottbegnadeten	31	2	1	1	0	1	14.797	11.673
eingezwängten	34	3	1	1	0	1	13.751	11.088
friedliebenden	35	4	1	1	0	1	13.072	10.673
näherkommenden	35	4	1	1	0	1	13.072	10.673
