Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
der	1	192947	586	586	0	20	2448.955	4.066
dem	2	57412	108	108	0	15	317.002	3.375
brigade	3	96	13	13	0	1	148.006	9.545
den	4	93109	84	84	0	13	138.547	2.315
unter	5	9485	30	30	0	2	115.618	4.125
ober	6	85	10	10	0	1	110.827	9.342
herr	7	8916	26	26	0	6	96.156	4.008
die	8	214928	3	3	0	1	57.453	-3.699
alte	9	3498	11	11	0	6	42.145	4.116
pater	10	72	4	4	0	1	38.062	8.259
kommandirende	11	17	3	3	0	1	35.859	9.927
ich	12	124076	2	2	0	2	31.602	-3.492
preußischen	13	37	3	3	0	1	30.887	8.805
kommandirender	14	3	2	2	0	1	30.645	11.844
zu	15	119245	2	2	0	1	29.985	-3.434
sie	16	156573	5	5	0	2	29.790	-2.505
österreichische	17	62	3	3	0	2	27.696	8.060
des	18	39223	25	25	0	3	27.311	1.814
kommandierenden	19	6	2	2	0	2	26.827	10.844
das	20	91858	1	1	0	1	25.853	-4.058
insurgenten	21	8	2	2	0	1	25.469	10.429
divisions	21	8	2	2	0	1	25.469	10.429
artillerie	23	142	3	3	0	1	22.669	6.865
nicht	24	82498	1	1	0	1	22.640	-3.903
mit	25	73621	1	1	0	1	19.619	-3.738
ingenieur	26	41	2	2	0	1	18.496	8.072
vom	27	5993	8	8	0	2	18.157	2.880
dürch	28	1	1	1	0	1	17.231	12.429
dilettierenden	28	1	1	1	0	1	17.231	12.429
hühnenhaften	28	1	1	1	0	1	17.231	12.429
ei	31	1185	4	4	0	2	15.845	4.219
auf	32	60442	1	1	0	1	15.198	-3.454
division	33	93	2	2	0	1	15.183	6.890
