Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
mein	1	13206	1057	1057	0	51	7186.558	6.183
der	2	192947	989	989	0	76	1562.524	2.218
sagte	3	20093	209	209	0	33	570.368	3.239
gnädiger	4	190	180	180	0	18	2377.186	9.748
und	5	243043	158	158	0	33	54.309	-0.761
ein	6	67513	137	137	0	49	42.601	0.881
alte	7	3498	115	115	0	35	563.690	4.899
lieber	8	2663	110	110	0	31	588.810	5.228
sein	9	24603	89	89	0	39	88.404	1.715
ihr	10	31781	85	85	0	37	51.148	1.279
dieser	10	11975	85	85	0	30	174.080	2.687
junge	12	3453	57	57	0	17	203.326	3.905
ja	13	13683	49	49	0	24	47.875	1.700
nein	14	4461	47	47	0	26	128.658	3.257
gnädige	15	593	44	44	0	10	287.226	6.073
junger	16	907	43	43	0	18	241.689	5.427
ihnen	17	12782	38	38	0	21	27.710	1.432
unser	18	1855	37	37	0	14	145.194	4.178
o	18	1851	37	37	0	17	145.346	4.181
während	20	5901	34	34	0	12	57.705	2.387
rief	21	4874	33	33	0	8	64.812	2.619
fragte	22	5030	32	32	0	13	59.514	2.529
ach	23	2381	30	30	0	14	91.847	3.515
erwiderte	24	2177	26	26	0	6	77.040	3.438
werter	25	48	25	25	0	7	274.198	8.885
ich	26	124076	24	24	0	14	143.467	-2.510
alter	26	1241	24	24	0	17	92.734	4.133
gnä	26	59	24	24	0	3	247.328	8.528
es	29	72406	23	23	0	15	56.760	-1.794
dass	29	4498	23	23	0	3	34.624	2.214
antwortete	31	2852	22	22	0	9	48.074	2.807
die	32	214928	21	21	0	13	335.441	-3.495
fromme	32	147	21	21	0	4	165.803	7.018
er	34	116714	20	20	0	13	144.210	-2.685
dein	35	1947	18	18	0	9	45.023	3.069
guter	36	870	17	17	0	8	66.009	4.148
an	36	44294	17	17	0	13	27.893	-1.522
das	38	91858	15	15	0	10	116.080	-2.754
verehrter	39	54	14	14	0	10	129.004	7.878
vornehmer	40	99	13	13	0	11	100.290	6.897
bitte	40	1910	13	13	0	9	25.626	2.627
eigener	40	260	13	13	0	10	74.414	5.504
wahr	40	1650	13	13	0	7	28.872	2.838
mal	44	2276	12	12	0	10	18.637	2.258
meinte	44	1253	12	12	0	3	30.761	3.120
den	46	93109	11	11	0	8	135.107	-3.221
ger	46	288	11	11	0	1	57.054	5.115
großer	46	1370	11	11	0	10	24.789	2.865
zu	46	119245	11	11	0	9	187.988	-3.578
hochgeehrter	50	36	10	10	0	4	93.742	7.978
hohe	50	636	10	10	0	6	34.710	3.835
bester	50	137	10	10	0	5	64.906	6.050
ihm	50	28873	10	10	0	7	20.553	-1.670
geehrter	50	14	10	10	0	8	119.483	9.340
hoher	50	206	10	10	0	6	56.645	5.461
so	56	51317	9	9	0	8	62.309	-2.651
was	56	26085	9	9	0	5	18.643	-1.675
adieu	56	202	9	9	0	6	49.436	5.338
liebster	59	107	8	8	0	5	52.316	6.084
geistliche	59	268	8	8	0	6	37.608	4.760
dem	59	57412	8	8	0	7	77.836	-2.983
älterer	59	58	8	8	0	7	62.551	6.968
auf	63	60442	7	7	0	7	88.121	-3.250
du	63	26617	7	7	0	6	24.675	-2.067
eigner	65	47	6	6	0	3	45.923	6.856
aus	65	28233	6	6	0	6	30.563	-2.374
verzeihung	65	333	6	6	0	4	22.366	4.031
vornehme	65	196	6	6	0	4	28.501	4.796
ehrsame	65	9	6	6	0	1	70.282	9.241
hochwürdiger	65	8	6	6	0	4	72.740	9.411
ehrwürdige	65	46	6	6	0	1	46.197	6.887
gnaden	65	241	6	6	0	2	26.085	4.498
jawohl	65	311	6	6	0	5	23.145	4.130
willkommen	74	187	5	5	0	4	22.429	4.601
he	74	259	5	5	0	5	19.293	4.131
nach	74	25374	5	5	0	5	28.786	-2.483
gnädigster	74	5	5	5	0	2	68.110	9.826
mit	74	73621	5	5	0	5	125.112	-4.020
edler	74	142	5	5	0	3	25.126	4.998
gekleideter	74	27	5	5	0	5	42.284	7.393
teurer	74	98	5	5	0	2	28.819	5.533
ältere	74	198	5	5	0	5	21.874	4.518
hochwürdige	83	5	4	4	0	3	49.486	9.504
von	83	66878	4	4	0	2	116.696	-4.203
um	83	27743	4	4	0	4	36.975	-2.934
wertester	83	9	4	4	0	2	42.133	8.656
würdiger	83	60	4	4	0	1	25.219	5.919
ehrwürdiger	83	40	4	4	0	3	28.560	6.504
vor	83	20994	4	4	0	4	24.285	-2.532
dicker	83	115	4	4	0	4	20.004	4.980
einen	83	26126	4	4	0	3	33.879	-2.847
wir	92	21296	3	3	0	2	28.657	-2.968
studiosus	92	14	3	3	0	1	26.341	7.603
gestrenger	92	3	3	3	0	3	40.865	9.826
hochgeborene	92	7	3	3	0	1	31.313	8.603
gewesener	96	7	2	2	0	1	18.879	8.018
hochg	96	5	2	2	0	1	20.520	8.504
geschätztester	96	3	2	2	0	1	23.426	9.241
registr	96	2	2	2	0	1	27.243	9.826
sapperment	96	7	2	2	0	1	18.879	8.018
steuerdirektor	96	8	2	2	0	1	18.259	7.826
eine	96	43567	2	2	0	2	79.586	-4.585
testaments	96	8	2	2	0	1	18.259	7.826
hochgeborner	96	2	2	2	0	2	27.243	9.826
großmächtigster	96	2	2	2	0	1	27.243	9.826
allerdurchlauchtigster	96	2	2	2	0	1	27.243	9.826
hochgeboren	96	8	2	2	0	1	18.259	7.826
jnädige	96	2	2	2	0	1	27.243	9.826
jovialer	96	7	2	2	0	2	18.879	8.018
ihre	96	17958	2	2	0	1	26.461	-3.307
des	111	39223	1	1	0	1	77.152	-5.434
über	111	19124	1	1	0	1	34.115	-4.397
man	111	24885	1	1	0	1	46.325	-4.777
für	111	25152	1	1	0	1	46.894	-4.793
bei	111	18673	1	1	0	1	33.167	-4.363
