Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
des	1	39223	465	465	0	63	2236.409	4.758
dem	2	57412	248	248	0	52	704.802	3.302
gnädigen	3	144	43	43	0	10	490.088	9.413
alten	4	3555	75	75	0	31	437.381	5.590
seines	5	3599	73	73	0	25	419.995	5.533
den	6	93109	210	210	0	55	358.521	2.364
seinem	7	8428	78	78	0	29	329.523	4.401
seinen	8	10132	78	78	0	30	302.137	4.136
jungen	9	3493	50	50	0	26	253.085	5.030
ihrem	10	6604	53	53	0	28	209.146	4.196
meines	11	1995	35	35	0	12	190.984	5.324
meinem	12	3938	33	33	0	14	132.768	4.258
ihren	13	9232	44	44	0	25	130.776	3.444
bei	14	18673	56	56	0	18	120.600	2.776
der	15	192947	9	9	0	6	112.370	-3.231
diesem	16	6625	34	34	0	18	105.577	3.551
ihres	17	2959	25	25	0	16	100.921	4.270
diesen	18	5784	30	30	0	15	93.711	3.566
großen	19	4519	27	27	0	16	91.383	3.770
von	20	66878	91	91	0	31	84.038	1.635
mit	21	73621	95	95	0	29	80.970	1.559
vornehmen	22	362	12	12	0	8	80.587	6.242
kaiserlichen	23	168	10	10	0	2	79.013	7.086
die	24	214928	23	23	0	8	78.927	-2.033
das	25	91858	1	1	0	1	71.530	-5.330
vom	26	5993	25	25	0	17	68.168	3.252
gnä	27	59	7	7	0	2	65.348	8.082
sich	28	82849	1	1	0	1	63.760	-5.181
verstorbenen	29	171	8	8	0	7	59.278	6.739
zu	30	119245	114	114	0	21	55.561	1.126
einem	31	20626	39	39	0	24	54.447	2.110
ehrwürdigen	32	83	6	6	0	2	49.797	7.367
deines	33	332	8	8	0	4	48.618	5.782
deinem	34	842	10	10	0	8	46.877	4.761
unserm	35	396	8	8	0	3	45.822	5.527
fremden	36	896	10	10	0	8	45.674	4.671
meine	37	12984	28	28	0	5	44.820	2.300
meinen	38	5102	18	18	0	11	43.695	3.010
und	39	243043	48	48	0	20	41.441	-1.149
feinen	40	364	7	7	0	4	39.411	5.456
unseres	41	368	7	7	0	4	39.260	5.441
war	42	60927	2	2	0	2	39.190	-3.738
nicht	43	82498	6	6	0	6	38.990	-2.590
neuen	44	1803	11	11	0	7	37.615	3.800
zum	45	13526	26	26	0	17	36.903	2.134
allergnädigsten	46	7	3	3	0	2	36.845	9.934
einen	47	26126	37	37	0	25	35.939	1.693
an	48	44294	50	50	0	23	33.762	1.366
hohen	49	951	8	8	0	4	32.194	4.264
hochgebornen	50	2	2	2	0	2	30.934	11.157
für	51	25152	34	34	0	19	30.839	1.626
aber	52	42540	1	1	0	1	29.510	-4.220
ist	53	47932	2	2	0	2	28.693	-3.392
rechtmäßigen	54	25	3	3	0	3	28.075	8.098
gnädgen	55	3	2	2	0	1	27.116	10.572
blaugekleideten	55	3	2	2	0	1	27.116	10.572
in	57	116231	19	19	0	9	26.663	-1.422
unsern	58	573	6	6	0	4	26.660	4.579
daß	59	50854	3	3	0	3	26.631	-2.892
seligen	60	138	4	4	0	4	25.778	6.048
galeassen	61	4	2	2	0	1	25.391	10.157
hochg	62	5	2	2	0	1	24.207	9.835
wie	63	46768	3	3	0	3	23.535	-2.771
schwarzgekleideten	64	6	2	2	0	2	23.300	9.572
dieses	65	5597	13	13	0	6	22.330	2.407
leidenden	66	67	3	3	0	2	21.958	6.676
bekannten	67	516	5	5	0	4	21.469	4.468
es	68	72406	10	10	0	9	20.484	-1.665
er	69	116714	23	23	0	14	19.732	-1.152
reichte	70	689	5	5	0	3	18.717	4.050
eleganten	71	131	3	3	0	3	17.924	5.708
stehenden	72	151	3	3	0	3	17.080	5.503
gekleideten	73	25	2	2	0	2	17.016	7.513
erlauchten	74	28	2	2	0	2	16.547	7.349
ehrenwerten	75	29	2	2	0	2	16.403	7.299
frommen	76	173	3	3	0	1	16.276	5.307
wenn	77	26405	1	1	0	1	16.270	-3.532
ihr	78	31781	2	2	0	1	16.123	-2.799
