Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
ihrem	1	6604	119	119	0	24	1015.529	7.469
einem	2	20626	128	128	0	39	821.790	5.931
dem	3	57412	159	159	0	44	775.540	4.767
jungen	4	3493	76	76	0	30	673.111	7.741
diesem	5	6625	47	47	0	20	309.355	6.124
meinem	6	3938	33	33	0	11	227.537	6.364
zum	7	13526	31	31	0	22	135.027	4.494
alten	8	3555	20	20	0	14	121.824	5.790
keinem	9	567	6	6	0	6	43.958	6.701
vom	10	5993	11	11	0	7	43.013	4.174
solchen	11	1858	7	7	0	6	37.028	5.211
wackeren	12	34	3	3	0	3	34.884	9.761
verheirateten	13	38	3	3	0	3	34.188	9.600
jedem	14	1399	6	6	0	4	33.250	5.398
fremden	15	896	5	5	0	4	30.287	5.778
armen	16	1652	5	5	0	5	24.309	4.895
berühmten	17	402	3	3	0	1	19.887	6.197
unglücklichen	18	433	3	3	0	2	19.446	6.090
mageren	19	60	2	2	0	1	19.253	8.356
helldenkenden	20	1	1	1	0	1	18.388	13.263
treueren	20	1	1	1	0	1	18.388	13.263
unbescholtensten	20	1	1	1	0	1	18.388	13.263
ununterscheidbaren	20	1	1	1	0	1	18.388	13.263
entmannten	20	1	1	1	0	1	18.388	13.263
überfallenen	20	1	1	1	0	1	18.388	13.263
anderen	26	3288	5	5	0	4	17.750	3.902
eurem	27	118	2	2	0	1	16.526	7.381
braven	28	141	2	2	0	2	15.813	7.124
geliebten	29	822	3	3	0	3	15.669	5.165
willensstarken	30	2	1	1	0	1	15.616	12.263
starrsinnigen	30	2	1	1	0	1	15.616	12.263
bewanderten	30	2	1	1	0	1	15.616	12.263
zwiefältigen	30	2	1	1	0	1	15.616	12.263
arglistigen	30	2	1	1	0	1	15.616	12.263
verwöhntesten	30	2	1	1	0	1	15.616	12.263
gerüsteten	30	2	1	1	0	1	15.616	12.263
deinem	37	842	3	3	0	2	15.529	5.131
ehrlichen	38	157	2	2	0	2	15.383	6.969
frommen	39	173	2	2	0	2	14.996	6.829
unübertrefflichen	40	3	1	1	0	1	14.569	11.678
huldigenden	40	3	1	1	0	1	14.569	11.678
unvermögenden	40	3	1	1	0	1	14.569	11.678
beleibten	40	3	1	1	0	1	14.569	11.678
geschiedenen	40	3	1	1	0	1	14.569	11.678
gefürchtetsten	40	3	1	1	0	1	14.569	11.678
verkehrenden	46	4	1	1	0	1	13.890	11.263
leutseligen	46	4	1	1	0	1	13.890	11.263
weitberühmten	48	5	1	1	0	1	13.385	10.941
lustvollen	48	5	1	1	0	1	13.385	10.941
außerordentlichsten	50	6	1	1	0	1	12.982	10.678
wohlgebildeten	50	6	1	1	0	1	12.982	10.678
enthusiastischen	50	6	1	1	0	1	12.982	10.678
