Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
der	1	192947	619	619	0	23	2950.269	4.398
den	2	93109	73	73	0	17	124.653	2.366
dem	3	57412	56	56	0	12	115.466	2.681
lieber	4	2663	15	15	0	3	79.412	5.210
ja	5	13683	20	20	0	2	54.952	3.264
alten	6	3555	10	10	0	8	39.524	4.209
zum	7	13526	16	16	0	5	37.920	2.959
die	8	214928	7	7	0	7	30.366	-2.224
seinen	9	10132	12	12	0	10	28.436	2.961
ein	10	67513	30	30	0	20	25.181	1.546
er	11	116714	2	2	0	2	22.984	-3.150
beim	12	2830	6	6	0	3	20.511	3.801
großen	13	4519	7	7	0	7	19.905	3.348
verehrter	14	54	2	2	0	2	18.074	7.927
bhogovotgitas	15	1	1	1	0	1	17.582	12.682
altdeutscher	15	1	1	1	0	1	17.582	12.682
mauerbilder	15	1	1	1	0	1	17.582	12.682
herumsuche	15	1	1	1	0	1	17.582	12.682
hereingelatschten	15	1	1	1	0	1	17.582	12.682
zurückreißend	15	1	1	1	0	1	17.582	12.682
sroßer	15	1	1	1	0	1	17.582	12.682
oberfalken	15	1	1	1	0	1	17.582	12.682
ich	23	124076	4	4	0	4	17.523	-2.238
berühmtesten	24	64	2	2	0	2	17.385	7.682
vom	25	5993	7	7	0	4	16.396	2.941
das	26	91858	2	2	0	2	16.292	-2.805
großer	27	1370	4	4	0	4	16.075	4.262
seinem	28	8428	8	8	0	6	15.901	2.641
mit	29	73621	1	1	0	1	15.655	-3.485
deutschen	30	606	3	3	0	2	15.100	5.024
siedeln	31	2	1	1	0	1	14.810	11.682
liebwerter	31	2	1	1	0	1	14.810	11.682
sie	33	156573	8	8	0	3	14.391	-1.574
