Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
der	1	192947	200	200	0	41	537.657	3.087
ein	2	67513	64	64	0	30	154.216	2.958
seinem	3	8428	31	31	0	15	152.276	4.914
mein	4	13206	35	35	0	10	149.952	4.441
treuen	5	155	13	13	0	9	145.191	9.425
treuer	6	99	12	12	0	9	143.319	9.957
ergebenster	7	15	9	9	0	3	142.103	12.264
gehorsamster	8	6	6	6	0	4	108.176	13.001
dem	9	57412	44	44	0	22	89.175	2.651
sein	10	24603	26	26	0	10	66.841	3.115
getreuer	11	44	5	5	0	2	58.995	9.864
alten	12	3555	12	12	0	9	56.732	4.790
eintretenden	13	57	5	5	0	3	56.271	9.490
getreuen	14	66	5	5	0	2	54.743	9.279
einen	15	26126	23	23	0	17	51.708	2.851
seinen	16	10132	15	15	0	9	47.571	3.601
treue	17	411	6	6	0	4	45.641	6.903
einem	18	20626	19	19	0	12	44.151	2.917
unterthänigster	19	8	3	3	0	3	43.495	11.586
chinesischen	20	89	4	4	0	1	39.494	8.525
feierliche	21	92	4	4	0	1	39.223	8.478
getreue	22	39	3	3	0	1	32.935	9.301
alte	23	3498	7	7	0	4	26.076	4.036
wendlands	24	11	2	2	0	1	25.622	10.542
griechische	25	144	3	3	0	1	24.949	7.416
ergebener	26	15	2	2	0	1	24.274	10.094
ergebene	27	17	2	2	0	2	23.739	9.914
demütiger	27	17	2	2	0	1	23.739	9.914
den	29	93109	31	31	0	15	23.373	1.449
zweiter	30	206	3	3	0	3	22.797	6.900
gekleidete	31	44	2	2	0	2	19.789	8.542
seine	32	19668	12	12	0	10	19.532	2.322
allerdienstwilligster	33	1	1	1	0	1	18.024	13.001
vornehmesten	33	1	1	1	0	1	18.024	13.001
hergehenden	33	1	1	1	0	1	18.024	13.001
vorhergewonnene	33	1	1	1	0	1	18.024	13.001
schamster	33	1	1	1	0	1	18.024	13.001
fortgejagte	33	1	1	1	0	1	18.024	13.001
mitfahrender	33	1	1	1	0	1	18.024	13.001
untertänigsten	33	1	1	1	0	1	18.024	13.001
sudanesischer	33	1	1	1	0	1	18.024	13.001
die	42	214928	50	50	0	21	17.592	0.931
englischer	43	92	2	2	0	1	16.802	7.478
armenische	44	105	2	2	0	1	16.271	7.287
ihr	45	31781	14	14	0	8	15.816	1.853
greise	46	120	2	2	0	1	15.736	7.094
wohlgefälliger	47	2	1	1	0	1	15.252	12.001
wachsamsten	47	2	1	1	0	1	15.252	12.001
livrierte	47	2	1	1	0	1	15.252	12.001
oblonskischen	47	2	1	1	0	1	15.252	12.001
betreßte	47	2	1	1	0	1	15.252	12.001
lieblingsspeisen	47	2	1	1	0	1	15.252	12.001
untertäniger	47	2	1	1	0	1	15.252	12.001
dein	54	1947	4	4	0	3	15.088	4.074
kein	55	5864	6	6	0	5	14.986	3.068
deinem	56	842	3	3	0	2	14.471	4.868
großherziger	57	3	1	1	0	1	14.206	11.416
unterthäniger	57	3	1	1	0	1	14.206	11.416
leichtgläubige	57	3	1	1	0	1	14.206	11.416
herbeieilende	57	3	1	1	0	1	14.206	11.416
