Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
der	1	192947	598	598	0	28	2776.129	4.331
herr	2	8916	171	171	0	16	1338.292	6.961
lieber	3	2663	29	29	0	7	190.796	6.144
junge	4	3453	10	10	0	7	39.846	4.233
wohlbesagter	5	2	2	2	0	1	35.118	12.665
gefürsteter	5	2	2	2	0	1	35.118	12.665
ich	7	124076	1	1	0	1	30.581	-4.256
in	8	116231	1	1	0	1	28.261	-4.162
oberst	9	466	4	4	0	1	24.355	5.801
zu	10	119245	2	2	0	2	24.075	-3.199
er	11	116714	2	2	0	2	23.371	-3.168
alte	12	3498	7	7	0	4	23.027	3.700
krähte	13	31	2	2	0	1	20.295	8.711
und	14	243043	14	14	0	6	19.772	-1.419
stefan	15	42	2	2	0	1	19.049	8.273
angebliche	16	45	2	2	0	1	18.767	8.173
guy	17	47	2	2	0	2	18.590	8.110
nicht	18	82498	1	1	0	1	18.436	-3.667
hochwohlgeborner	19	1	1	1	0	1	17.558	12.665
wohlermeldter	19	1	1	1	0	1	17.558	12.665
königschaffende	19	1	1	1	0	1	17.558	12.665
langschwerd	19	1	1	1	0	1	17.558	12.665
yverbonville	19	1	1	1	0	1	17.558	12.665
montchauvet	19	1	1	1	0	1	17.558	12.665
intendirte	19	1	1	1	0	1	17.558	12.665
fünffacher	19	1	1	1	0	1	17.558	12.665
hochgeborne	19	1	1	1	0	1	17.558	12.665
flammenträgern	19	1	1	1	0	1	17.558	12.665
coadjutor	19	1	1	1	0	1	17.558	12.665
kabinettchef	19	1	1	1	0	1	17.558	12.665
den	31	93109	2	2	0	2	16.921	-2.842
maria	32	472	3	3	0	1	16.492	5.367
mit	33	73621	1	1	0	1	15.905	-3.503
general	34	1467	4	4	0	3	15.465	4.146
lösende	35	2	1	1	0	1	14.786	11.665
allzugütig	35	2	1	1	0	1	14.786	11.665
karibanow	35	2	1	1	0	1	14.786	11.665
tißa	35	2	1	1	0	1	14.786	11.665
kaiserjägern	35	2	1	1	0	1	14.786	11.665
