Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
der	1	192947	422	422	0	27	1862.235	4.203
dem	2	57412	131	131	0	19	543.173	4.264
den	3	93109	128	128	0	15	408.200	3.533
vom	4	5993	18	18	0	12	82.080	4.660
heiligsten	5	41	5	5	0	1	60.013	10.004
zum	6	13526	18	18	0	7	54.503	3.486
heiligste	7	34	3	3	0	1	33.953	9.537
römischen	8	182	4	4	0	1	33.913	7.532
und	9	243043	5	5	0	5	30.807	-2.529
die	10	214928	4	4	0	4	28.719	-2.674
ich	11	124076	1	1	0	1	22.291	-3.881
unser	12	1855	5	5	0	3	21.698	4.504
zu	13	119245	1	1	0	1	21.207	-3.824
türkische	14	281	3	3	0	1	21.099	6.490
einzug	15	34	2	2	0	1	20.952	8.952
mahommed	16	1	1	1	0	1	18.078	13.040
herniederregnen	16	1	1	1	0	1	18.078	13.040
connetable	16	1	1	1	0	1	18.078	13.040
separatfriedensangebot	16	1	1	1	0	1	18.078	13.040
beim	20	2830	5	5	0	4	17.700	3.895
frankreichs	21	79	2	2	0	1	17.522	7.736
österreichischen	22	107	2	2	0	2	16.301	7.298
alten	23	3555	5	5	0	3	15.589	3.566
großkönig	24	2	1	1	0	1	15.305	12.040
schneidigen	24	2	1	1	0	1	15.305	12.040
preisenden	26	3	1	1	0	1	14.259	11.455
thronenden	26	3	1	1	0	1	14.259	11.455
entthronte	26	3	1	1	0	1	14.259	11.455
zustürmte	26	3	1	1	0	1	14.259	11.455
tiberio	30	4	1	1	0	1	13.580	11.040
