Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
der	1	192947	668	668	0	34	2924.667	4.182
den	2	93109	179	179	0	32	522.708	3.334
dem	3	57412	134	134	0	23	435.575	3.613
zum	4	13526	42	42	0	14	156.664	4.025
die	5	214928	1	1	0	1	73.607	-5.357
ein	6	67513	49	49	0	26	59.614	1.928
preußische	7	38	5	5	0	3	56.085	9.430
o	8	1851	11	11	0	2	54.505	4.962
glückseliger	9	11	4	4	0	1	54.111	10.897
sie	10	156573	1	1	0	1	51.474	-4.900
vom	11	5993	15	15	0	9	49.679	3.714
beim	12	2830	11	11	0	6	45.513	4.349
guten	13	1908	9	9	0	4	40.564	4.629
und	14	243043	12	12	0	10	37.050	-1.949
armenische	15	105	4	4	0	2	34.581	7.642
ich	16	124076	2	2	0	1	33.749	-3.564
flötespielenden	17	3	2	2	0	1	30.443	11.772
persischen	18	89	3	3	0	3	25.190	7.466
zu	19	119245	4	4	0	3	23.809	-2.507
einäugige	20	14	2	2	0	2	22.783	9.549
es	21	72406	1	1	0	1	20.473	-3.787
großer	22	1370	5	5	0	3	20.071	4.258
geborener	23	30	2	2	0	1	19.577	8.450
heidnischen	24	40	2	2	0	1	18.395	8.035
agathokles	25	1	1	1	0	1	17.130	12.356
hadingus	25	1	1	1	0	1	17.130	12.356
engländischen	25	1	1	1	0	1	17.130	12.356
aegyptischer	25	1	1	1	0	1	17.130	12.356
angestammter	25	1	1	1	0	1	17.130	12.356
halbzivilisierter	25	1	1	1	0	1	17.130	12.356
gedankenfreiheit	25	1	1	1	0	1	17.130	12.356
entthronter	25	1	1	1	0	1	17.130	12.356
burraburiasch	25	1	1	1	0	1	17.130	12.356
cruck	25	1	1	1	0	1	17.130	12.356
halslinie	25	1	1	1	0	1	17.130	12.356
jagdleutnant	25	1	1	1	0	1	17.130	12.356
ruhmlose	25	1	1	1	0	1	17.130	12.356
allerchristlichster	25	1	1	1	0	1	17.130	12.356
lieblingsgebäck	25	1	1	1	0	1	17.130	12.356
seinen	40	10132	10	10	0	6	16.793	2.372
war	41	60927	1	1	0	1	16.407	-3.538
mit	42	73621	2	2	0	2	16.380	-2.811
auf	43	60442	1	1	0	1	16.237	-3.527
sich	44	82849	3	3	0	3	15.738	-2.397
weiser	45	97	2	2	0	2	14.813	6.757
er	46	116714	7	7	0	3	14.473	-1.669
löwenherz	47	2	1	1	0	1	14.358	11.356
schuldvollen	47	2	1	1	0	1	14.358	11.356
