Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
der	1	192947	999	999	0	84	1676.540	2.301
ein	2	67513	977	977	0	81	3426.224	3.784
junge	3	3453	462	462	0	53	3650.860	6.993
den	4	93109	419	419	0	74	590.270	2.099
einen	5	26126	382	382	0	74	1322.507	3.799
junger	6	907	306	306	0	62	3050.040	8.327
jungen	7	3493	278	278	0	52	1888.548	6.243
ihr	8	31781	206	206	0	46	408.959	2.625
ihren	9	9232	191	191	0	41	783.339	4.300
dieser	10	11975	164	164	0	53	544.007	3.704
mein	11	13206	150	150	0	38	445.536	3.434
alte	12	3498	137	137	0	34	732.057	5.220
dem	13	57412	101	101	0	39	22.992	0.744
als	14	46415	96	96	0	41	35.894	0.977
alter	15	1241	85	85	0	37	549.371	6.027
ihrem	16	6604	80	80	0	26	246.518	3.527
einem	17	20626	76	76	0	37	82.565	1.810
alten	18	3555	75	75	0	34	309.475	4.328
kein	19	5864	63	63	0	35	180.199	3.354
diesen	20	5784	61	61	0	33	172.416	3.327
meinen	21	5102	51	51	0	22	139.165	3.250
großer	22	1370	37	37	0	18	170.219	4.684
jeder	23	3005	36	36	0	19	110.041	3.511
von	24	66878	31	31	0	12	27.999	-1.180
keinen	25	3137	30	30	0	22	79.418	3.186
schöner	26	530	29	29	0	21	174.028	5.703
gute	27	1882	27	27	0	14	91.526	3.771
dein	27	1947	27	27	0	18	89.816	3.722
reicher	29	195	26	26	0	21	203.927	6.988
heinrich	29	508	26	26	0	1	152.516	5.606
thomas	29	153	26	26	0	1	217.513	7.338
großen	32	4519	24	24	0	12	39.401	2.338
ehrlicher	33	93	23	23	0	16	211.654	7.879
meinem	34	3938	21	21	0	13	34.609	2.344
guter	34	870	21	21	0	17	91.989	4.522
arme	34	2444	21	21	0	12	51.579	3.032
kleine	34	3188	21	21	0	11	41.936	2.648
mit	38	73621	20	20	0	6	61.025	-1.951
kluger	38	75	20	20	0	11	187.511	7.988
und	40	243043	19	19	0	8	380.899	-3.748
jeden	40	1871	19	19	0	13	52.328	3.273
zwischen	42	4013	18	18	0	12	24.755	2.094
armer	43	292	17	17	0	10	104.125	5.792
kleiner	44	651	16	16	0	12	70.638	4.548
jener	44	1982	16	16	0	11	37.537	2.942
anderer	44	925	16	16	0	12	59.854	4.041
große	44	3427	16	16	0	9	22.993	2.152
armen	48	1652	15	15	0	12	38.300	3.111
reichen	48	548	15	15	0	12	69.364	4.703
deinen	48	1015	15	15	0	9	51.662	3.814
an	51	44294	14	14	0	7	31.587	-1.733
weiser	51	97	14	14	0	7	112.159	7.102
einzigen	53	843	13	13	0	10	45.810	3.876
letzten	53	2273	13	13	0	9	22.896	2.445
stattlicher	53	40	13	13	0	8	127.948	8.273
gelehrter	56	84	12	12	0	9	95.870	7.087
unser	56	1855	12	12	0	6	23.588	2.622
einzige	56	1431	12	12	0	10	28.949	2.997
wackere	56	91	12	12	0	5	93.818	6.972
vier	60	1993	11	11	0	9	18.733	2.393
solchen	60	1858	11	11	0	8	19.997	2.494
fremder	60	243	11	11	0	8	61.798	5.429
jenen	60	721	11	11	0	9	38.538	3.860
