Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
eines	1	8903	199	199	0	60	1665.458	7.321
des	2	39223	254	254	0	58	1512.560	5.534
jungen	3	3493	147	147	0	42	1411.052	8.234
ihres	4	2959	120	120	0	35	1139.736	8.181
dieses	5	5597	62	62	0	31	423.820	6.308
alten	6	3555	40	40	0	22	273.891	6.331
meines	7	1995	29	29	0	11	213.083	6.700
großen	8	4519	16	16	0	9	72.950	4.663
geliebten	9	822	9	9	0	7	60.893	6.292
klugen	10	152	6	6	0	6	56.033	8.142
ehrlichen	11	157	5	5	0	3	44.512	7.832
alternden	12	25	3	3	0	3	34.921	9.746
rechtschaffenen	13	33	3	3	0	3	33.163	9.345
verheirateten	14	38	3	3	0	2	32.280	9.142
reichen	15	548	5	5	0	4	32.005	6.029
neunzigjährigen	16	4	2	2	0	2	29.961	11.805
heiligen	17	906	5	5	0	4	27.059	5.303
außerordentlichen	18	89	3	3	0	1	27.047	7.914
gereiften	19	8	2	2	0	2	26.510	10.805
unglücklichen	20	433	4	4	0	4	25.699	6.046
starken	21	490	4	4	0	4	24.721	5.868
sympathischen	22	15	2	2	0	2	23.729	9.898
einflußreichen	23	16	2	2	0	1	23.453	9.805
armen	24	1652	5	5	0	5	21.247	4.437
ernsten	25	259	3	3	0	3	20.618	6.373
einzigen	26	843	4	4	0	3	20.465	5.085
solchen	27	1858	5	5	0	4	20.128	4.267
den	28	93109	1	1	0	1	19.027	-3.702
weißen	29	1096	4	4	0	2	18.432	4.707
wortgetreuen	30	1	1	1	0	1	17.752	12.805
gutaussehenden	30	1	1	1	0	1	17.752	12.805
wohlunterrichteten	30	1	1	1	0	1	17.752	12.805
schwerverheirateten	30	1	1	1	0	1	17.752	12.805
genusssüchtigen	30	1	1	1	0	1	17.752	12.805
lendenkräftigen	30	1	1	1	0	1	17.752	12.805
feingewandeten	30	1	1	1	0	1	17.752	12.805
wackern	37	64	2	2	0	1	17.723	7.805
einzelnen	38	468	3	3	0	2	17.111	5.519
verliebten	39	92	2	2	0	2	16.260	7.281
jenes	40	617	3	3	0	2	15.489	5.120
blassen	41	119	2	2	0	2	15.228	6.910
merkwürdigen	42	125	2	2	0	2	15.031	6.839
weiseren	43	2	1	1	0	1	14.980	11.805
schmerzbeladenen	43	2	1	1	0	1	14.980	11.805
wildaussehenden	43	2	1	1	0	1	14.980	11.805
vielgeprüften	43	2	1	1	0	1	14.980	11.805
riesengewaltigen	43	2	1	1	0	1	14.980	11.805
achtundzwanzigjährigen	43	2	1	1	0	1	14.980	11.805
volljährigen	43	2	1	1	0	1	14.980	11.805
kaisertreuen	43	2	1	1	0	1	14.980	11.805
seligen	51	138	2	2	0	1	14.636	6.696
braven	52	141	2	2	0	2	14.550	6.665
stehenden	53	151	2	2	0	1	14.277	6.566
guten	54	1908	4	4	0	3	14.217	3.907
schönen	55	1918	4	4	0	4	14.178	3.899
mißleiteten	56	3	1	1	0	1	13.933	11.220
schwarzbärtigen	56	3	1	1	0	1	13.933	11.220
untersetzten	56	3	1	1	0	1	13.933	11.220
weltabgeschiedenen	56	3	1	1	0	1	13.933	11.220
geschiedenen	56	3	1	1	0	1	13.933	11.220
kleinen	61	3633	5	5	0	5	13.910	3.300
verstorbenen	62	171	2	2	0	2	13.782	6.387
einsamen	63	188	2	2	0	2	13.406	6.250
diplomierten	64	4	1	1	0	1	13.254	10.805
betrachtenden	64	4	1	1	0	1	13.254	10.805
hochgebildeten	64	4	1	1	0	1	13.254	10.805
aufbrausenden	64	4	1	1	0	1	13.254	10.805
maskierten	64	4	1	1	0	1	13.254	10.805
unbeständigen	64	4	1	1	0	1	13.254	10.805
glaubwürdigen	64	4	1	1	0	1	13.254	10.805
keines	71	196	2	2	0	2	13.240	6.190
