Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
der	1	192947	199	199	0	23	622.859	3.397
junge	2	3453	31	31	0	4	220.316	6.519
ein	3	67513	52	52	0	20	126.468	2.976
junger	4	907	13	13	0	9	104.225	7.194
artillerie	5	142	8	8	0	1	86.253	9.169
jungen	6	3493	15	15	0	6	84.458	5.455
französischen	7	507	8	8	0	2	65.628	7.333
russische	8	263	7	7	0	1	64.777	8.087
französische	9	293	7	7	0	1	63.251	7.931
erste	10	1861	10	10	0	3	60.648	5.779
russischer	11	70	5	5	0	1	56.337	9.511
einen	12	26126	22	22	0	9	56.305	3.105
begleitende	13	5	3	3	0	3	48.672	12.582
britische	14	37	4	4	0	1	48.533	10.109
ersten	15	3400	9	9	0	5	42.137	4.757
tapfere	16	88	4	4	0	1	41.347	8.859
kommandirende	17	17	3	3	0	1	39.561	10.816
wachhabende	18	2	2	2	0	1	36.932	13.319
dem	19	57412	25	25	0	7	36.359	2.153
kommandirenden	20	29	3	3	0	1	36.117	10.046
den	21	93109	32	32	0	10	35.291	1.812
alte	22	3498	8	8	0	2	35.196	4.546
genie	23	200	4	4	0	1	34.697	7.675
die	24	214928	1	1	0	1	34.500	-4.395
einem	25	20626	15	15	0	10	34.426	2.893
pensionierter	26	5	2	2	0	2	30.203	11.997
französischer	27	82	3	3	0	1	29.680	8.546
ottomanischer	28	6	2	2	0	1	29.295	11.734
pensionierte	29	7	2	2	0	1	28.557	11.511
diensthabenden	29	7	2	2	0	2	28.557	11.511
russischen	31	469	4	4	0	1	27.885	6.445
alter	32	1241	5	5	0	3	27.468	5.363
pensionierten	33	9	2	2	0	2	27.399	11.149
und	34	243043	4	4	0	4	25.822	-2.572
stabs	35	14	2	2	0	1	25.451	10.511
ehemaliger	36	26	2	2	0	1	22.835	9.618
italienischer	37	27	2	2	0	2	22.678	9.564
preußische	38	38	2	2	0	2	21.269	9.071
wackerer	39	40	2	2	0	1	21.058	8.997
höherer	40	41	2	2	0	2	20.957	8.961
ordonnanz	41	46	2	2	0	1	20.487	8.795
eleganter	41	46	2	2	0	2	20.487	8.795
früherer	43	49	2	2	0	2	20.229	8.704
marine	44	54	2	2	0	1	19.834	8.564
älterer	45	58	2	2	0	2	19.544	8.461
kosaken	46	64	2	2	0	1	19.144	8.319
türkischen	47	475	3	3	0	2	19.125	6.012
n	48	483	3	3	0	1	19.026	5.988
türkischer	49	71	2	2	0	1	18.724	8.169
paraguayscher	50	1	1	1	0	1	18.465	13.319
baumlangen	50	1	1	1	0	1	18.465	13.319
inspizierender	50	1	1	1	0	1	18.465	13.319
weggelaufener	50	1	1	1	0	1	18.465	13.319
wachhabenden	50	1	1	1	0	1	18.465	13.319
geschaßter	50	1	1	1	0	1	18.465	13.319
freundwillige	50	1	1	1	0	1	18.465	13.319
unvertrauten	50	1	1	1	0	1	18.465	13.319
harbste	50	1	1	1	0	1	18.465	13.319
signor	59	101	2	2	0	1	17.303	7.660
österreichischen	60	107	2	2	0	2	17.072	7.577
ehemaligen	61	120	2	2	0	2	16.611	7.412
spanischen	62	122	2	2	0	1	16.545	7.388
liegenden	63	124	2	2	0	1	16.480	7.364
griechische	64	144	2	2	0	1	15.881	7.149
jesuitschen	65	2	1	1	0	1	15.692	12.319
hübscheren	65	2	1	1	0	1	15.692	12.319
lunsforder	65	2	1	1	0	1	15.692	12.319
entfernterer	65	2	1	1	0	1	15.692	12.319
chasseur	65	2	1	1	0	1	15.692	12.319
gescheiterter	65	2	1	1	0	1	15.692	12.319
heranstürmenden	65	2	1	1	0	1	15.692	12.319
zuchtlosen	65	2	1	1	0	1	15.692	12.319
zurückgesetzter	65	2	1	1	0	1	15.692	12.319
entlaufener	65	2	1	1	0	1	15.692	12.319
langbeinige	65	2	1	1	0	1	15.692	12.319
fremden	76	896	3	3	0	2	15.390	5.096
kaiserlichen	77	168	2	2	0	2	15.265	6.926
hohen	78	951	3	3	0	3	15.043	5.010
bin	79	7448	6	6	0	4	14.791	3.041
wachthabenden	80	3	1	1	0	1	14.646	11.734
ausgebildeter	80	3	1	1	0	1	14.646	11.734
hochbegabte	82	4	1	1	0	1	13.967	11.319
