Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
mein	1	13206	306	306	0	50	2196.456	6.480
der	2	192947	265	265	0	54	476.626	2.403
den	3	93109	132	132	0	45	238.300	2.449
ihren	4	9232	100	100	0	31	556.623	5.383
seinen	5	10132	97	97	0	27	516.293	5.204
ihr	6	31781	94	94	0	30	289.672	3.510
sein	7	24603	84	84	0	27	280.762	3.717
meinen	8	5102	63	63	0	23	365.829	5.572
einen	9	26126	54	54	0	28	130.768	2.993
seinem	10	8428	50	50	0	18	218.634	4.514
ein	11	67513	47	47	0	23	34.198	1.423
ihrem	12	6604	40	40	0	13	176.324	4.544
dem	13	57412	34	34	0	19	18.063	1.190
lieber	14	2663	27	27	0	16	145.874	5.287
meinem	15	3938	15	15	0	9	52.762	3.875
herr	16	8916	14	14	0	5	27.100	2.596
ältesten	16	128	14	14	0	9	142.952	8.718
pawlischtschews	16	30	14	14	0	1	189.819	10.812
einziger	19	297	11	11	0	9	87.745	7.156
dein	19	1947	11	11	0	9	46.881	4.444
älteste	19	107	11	11	0	8	110.866	8.629
eigenen	22	2171	10	10	0	7	38.727	4.149
einzigen	23	843	9	9	0	8	49.462	5.362
cäsars	23	228	9	9	0	1	72.945	7.248
unser	25	1855	7	7	0	6	24.477	3.861
einzige	25	1431	7	7	0	5	27.898	4.236
ältester	25	20	7	7	0	7	89.719	10.397
dessen	25	3849	7	7	0	5	15.276	2.808
guter	29	870	6	6	0	4	27.859	4.731
deinen	29	1015	6	6	0	4	26.079	4.509
teurer	29	98	6	6	0	3	53.995	7.881
geliebten	32	822	5	5	0	5	22.004	4.550
eigener	32	260	5	5	0	4	33.290	6.211
leiblicher	32	13	5	5	0	3	65.254	10.533
lieben	32	1467	5	5	0	3	16.533	3.714
euer	32	683	5	5	0	4	23.791	4.817
ibrahim	32	42	5	5	0	1	51.931	8.841
jüngere	32	128	5	5	0	4	40.409	7.233
zweite	32	655	5	5	0	3	24.197	4.878
gottes	40	774	4	4	0	4	16.355	4.315
leiblichen	40	28	4	4	0	2	43.103	9.104
älteren	40	214	4	4	0	2	26.404	6.170
jährige	40	18	4	4	0	1	46.995	9.741
alt	40	898	4	4	0	2	15.227	4.101
ger	40	288	4	4	0	1	24.047	5.741
jüngster	46	15	3	3	0	3	34.535	9.589
jüngeren	46	176	3	3	0	3	19.251	6.037
geliebter	46	157	3	3	0	3	19.933	6.201
aurangzeb	46	89	3	3	0	1	23.348	7.020
khurram	46	9	3	3	0	1	38.087	10.326
jüngste	46	72	3	3	0	3	24.636	7.326
lebedews	46	57	3	3	0	1	26.063	7.663
vierbrinck	46	24	3	3	0	1	31.467	8.911
seidel	46	19	3	3	0	1	32.975	9.248
stattlichen	55	77	2	2	0	2	14.515	6.644
archomenides	55	2	2	2	0	1	33.027	11.911
hündin	55	22	2	2	0	1	19.633	8.452
rebellischen	55	13	2	2	0	2	21.870	9.211
akbars	55	14	2	2	0	1	21.550	9.104
imams	55	3	2	2	0	1	29.208	11.326
von	55	66878	2	2	0	2	22.201	-3.118
ragnas	55	8	2	2	0	1	24.032	9.911
dankbarer	55	12	2	2	0	2	22.218	9.326
jünglinghaften	55	5	2	2	0	2	26.298	10.589
überlebende	55	6	2	2	0	1	25.390	10.326
fulvias	55	16	2	2	0	1	20.977	8.911
schwieger	55	5	2	2	0	1	26.298	10.589
häfners	68	1	1	1	0	1	16.513	11.911
chermidis	68	1	1	1	0	1	16.513	11.911
baurs	68	1	1	1	0	1	16.513	11.911
severi	68	1	1	1	0	1	16.513	11.911
allzutheuerer	68	1	1	1	0	1	16.513	11.911
wurstmachers	68	1	1	1	0	1	16.513	11.911
sophroniskos	68	1	1	1	0	1	16.513	11.911
unverfälschten	68	1	1	1	0	1	16.513	11.911
peniens	68	1	1	1	0	1	16.513	11.911
hystaspes	68	1	1	1	0	1	16.513	11.911
vorausgesetzter	68	1	1	1	0	1	16.513	11.911
silberhaltigen	68	1	1	1	0	1	16.513	11.911
periktyonens	68	1	1	1	0	1	16.513	11.911
humayun	68	1	1	1	0	1	16.513	11.911
nicht	68	82498	1	1	0	1	34.918	-4.421
ist	68	47932	1	1	0	1	17.914	-3.638
atreus	68	1	1	1	0	1	16.513	11.911
an	68	44294	1	1	0	1	16.172	-3.524
proletariers	68	1	1	1	0	1	16.513	11.911
nachgeborener	68	1	1	1	0	1	16.513	11.911
mit	68	73621	1	1	0	1	30.492	-4.257
alix	68	1	1	1	0	1	16.513	11.911
zu	68	119245	1	1	0	1	53.498	-4.952
berühmtester	68	1	1	1	0	1	16.513	11.911
hallgarten	68	1	1	1	0	1	16.513	11.911
