Collocate	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
mein	1	13206	797	797	0	60	6344.792	6.973
der	2	192947	437	437	0	58	699.553	2.237
ihr	3	31781	280	280	0	45	1120.383	4.197
meinem	4	3938	152	152	0	33	1044.924	6.328
ihrem	5	6604	144	144	0	36	825.356	5.504
dem	6	57412	133	133	0	47	210.753	2.270
den	6	93109	133	133	0	43	115.460	1.572
sein	8	24603	131	131	0	45	396.166	3.470
meinen	9	5102	127	127	0	32	760.733	5.695
seinem	10	8428	111	111	0	41	525.512	4.777
ihren	11	9232	110	110	0	34	499.398	4.632
seinen	12	10132	85	85	0	34	328.260	4.126
dein	12	1947	85	85	0	32	604.011	6.506
deinem	14	842	37	37	0	25	262.959	6.515
deinen	15	1015	32	32	0	19	205.999	6.036
und	16	243043	25	25	0	17	108.696	-2.223
herr	17	8916	24	24	0	9	43.433	2.486
vom	18	5993	20	20	0	15	43.415	2.796
herrn	19	3544	19	19	0	8	57.237	3.480
lieber	19	2663	19	19	0	10	67.288	3.893
ehrwürdiger	21	40	13	13	0	6	148.287	9.402
eigenen	22	2171	10	10	0	9	27.355	3.261
nicht	22	82498	10	10	0	10	31.959	-1.987
unser	24	1855	9	9	0	5	25.460	3.336
mit	24	73621	9	9	0	8	28.288	-1.974
alter	26	1241	8	8	0	7	26.798	3.746
euer	27	683	7	7	0	7	29.578	4.415
gute	27	1882	7	7	0	6	16.492	2.953
ich	29	124076	6	6	0	5	80.426	-3.312
teurer	29	98	6	6	0	3	46.645	6.994
guter	29	870	6	6	0	6	20.850	3.844
daß	32	50854	5	5	0	5	23.100	-2.289
himmlischen	32	111	5	5	0	3	35.745	6.551
es	32	72406	5	5	0	4	40.410	-2.798
armer	32	292	5	5	0	5	26.104	5.156
sich	32	82849	5	5	0	4	49.182	-2.993
unserm	32	396	5	5	0	3	23.135	4.716
zu	32	119245	5	5	0	4	80.913	-3.518
heilige	32	396	5	5	0	2	23.135	4.716
verstorbener	40	14	4	4	0	3	44.390	9.216
das	40	91858	4	4	0	4	61.482	-3.464
geistigen	40	257	4	4	0	3	20.135	5.018
an	40	44294	4	4	0	4	21.269	-2.411
auf	40	60442	4	4	0	4	34.385	-2.860
seliger	40	36	4	4	0	1	36.046	7.854
seufzte	40	395	4	4	0	1	16.807	4.398
grausamer	47	84	3	3	0	1	20.041	6.216
theuerer	47	29	3	3	0	1	26.582	7.751
geliebter	47	157	3	3	0	3	16.308	5.314
ehrwürdige	47	46	3	3	0	3	23.709	7.085
siehe	47	173	3	3	0	1	15.735	5.174
war	47	60927	3	3	0	3	39.058	-3.286
eurem	47	118	3	3	0	2	18.003	5.726
die	47	214928	3	3	0	3	181.943	-5.105
wie	47	46768	3	3	0	2	26.958	-2.905
verstorbenen	47	171	3	3	0	1	15.804	5.191
verehrungswürdiger	47	8	3	3	0	1	35.268	9.609
er	47	116714	3	3	0	3	89.322	-4.224
kleopatras	47	44	3	3	0	1	23.983	7.149
sie	60	156573	2	2	0	2	133.352	-5.233
mir	60	34415	2	2	0	2	20.676	-3.047
vermeintlichen	60	27	2	2	0	2	16.330	7.269
auvergnat	60	3	2	2	0	1	26.747	10.439
hatte	60	35127	2	2	0	2	21.281	-3.077
hochwürdiger	60	8	2	2	0	2	21.573	9.024
lauries	60	29	2	2	0	1	16.035	7.166
lebenskluger	60	2	2	2	0	1	30.565	11.024
liederlichen	60	25	2	2	0	1	16.648	7.380
unbeerdigte	60	2	2	2	0	1	30.565	11.024
allerheiligster	60	2	2	2	0	1	30.565	11.024
legitimen	60	21	2	2	0	1	17.374	7.631
nur	72	24958	1	1	0	1	17.046	-3.584
so	72	51317	1	1	0	1	41.049	-4.624
des	72	39223	1	1	0	1	29.902	-4.236
