Id,Label,timeset,Gender
Mann,Mann,,Mann
jung,jung,,ADJ
lieb,lieb,,ADJ
gnädig,gnädig,,ADJ
alt,alt,,ADJ
groß,groß,,ADJ
schön,schön,,ADJ
gut,gut,,ADJ
reich,reich,,ADJ
arm,arm,,ADJ
ehrlich,ehrlich,,ADJ
klug,klug,,ADJ
bester,bester,,ADJ
hochgeehrt,hochgeehrt,,ADJ
weise,weise,,ADJ
hübsch,hübsch,,ADJ
treu,treu,,ADJ
gelehrt,gelehrt,,ADJ
tapfer,tapfer,,ADJ
stattlich,stattlich,,ADJ
deutsch,deutsch,,ADJ
Frau,Frau,,Frau
klein,klein,,ADJ
teuer/teure,teuer/teure,,ADJ
anständig,anständig,,ADJ
reizend,reizend,,ADJ
vornehm,vornehm,,ADJ
hoch,hoch,,ADJ
fliegend,fliegend,,ADJ
verehrt,verehrt,,ADJ
kappadozisch,kappadozisch,,ADJ
Neutral,Neutral,,Neutral
fremd,fremd,,ADJ
prächtig,prächtig,,ADJ
gemein,gemein,,ADJ
voll,voll,,ADJ
vernüftig,vernüftig,,ADJ
geliebt,geliebt,,ADJ
gewöhnlich,gewöhnlich,,ADJ
schlecht,schlecht,,ADJ
gebildet,gebildet,,ADJ
ganz,ganz,,ADJ
merkwürdig,merkwürdig,,ADJ
nett,nett,,ADJ
